,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,901,1,17,9,3,1,63,0,5,0
Trouser,0,989,1,6,1,0,2,0,1,0
Pullover,21,1,919,8,25,0,26,0,0,0
Dress,5,1,6,963,7,1,16,0,0,1
Coat,1,0,31,12,917,0,39,0,0,0
Sandal,0,0,0,0,0,992,0,6,0,2
Shirt,87,0,40,29,42,0,799,0,3,0
Sneaker,0,0,0,0,0,2,0,988,0,10
Bag,1,1,0,0,0,1,3,0,994,0
Ankle boot,0,0,0,0,0,6,1,32,0,961
