class,recall
Tshirts,0.9488636
Shirts,0.925
Kurtas,0.9496403
Tops,0.67424244
Briefs,1.0
Jeans,0.9361702
Trousers,0.8292683
Shorts,0.8780488
Bra,0.8947368
Dresses,0.7058824
Sarees,1.0
Track Pants,0.6956522
Sweaters,0.3181818
Sweatshirts,0.45454547
Jackets,0.4
