class,real,vae,ddpm,ldm
Tshirts,0.39915671117357693,0.4374,0.3934,0.2974
Shirts,0.1679550245959241,0.1074,0.1992,0.2458
Kurtas,0.09838369641602249,0.0686,0.077,0.1486
Tops,0.08362614195361912,0.2486,0.1174,0.1214
Briefs,0.04567814476458187,0.0078,0.0502,0.025
Jeans,0.03724525650035137,0.0026,0.0184,0.0284
Trousers,0.027406886858749122,0.0034,0.0268,0.0248
Shorts,0.028109627547434995,0.0066,0.017,0.0088
Bra,0.023893183415319746,0.0074,0.0154,0.006
Dresses,0.018973998594518624,0.0154,0.0212,0.0088
Sarees,0.023893183415319746,0.0078,0.0134,0.0264
Track Pants,0.013352073085031623,0.0032,0.0162,0.0124
Sweaters,0.007730147575544624,0.0622,0.0134,0.0372
Sweatshirts,0.015460295151089248,0.016,0.0094,0.0032
Jackets,0.009135628952916374,0.0056,0.0116,0.0058
