model,custom_fid_mean,custom_fid_std,custom_fid_min,custom_fid_max,custom_kid_mean_mean,custom_kid_mean_std,custom_kid_mean_min,custom_kid_mean_max,custom_kid_std_mean,custom_kid_std_std,custom_kid_std_min,custom_kid_std_max,mean_classifier_confidence_mean,mean_classifier_confidence_std,mean_classifier_confidence_min,mean_classifier_confidence_max,median_classifier_confidence_mean,median_classifier_confidence_std,median_classifier_confidence_min,median_classifier_confidence_max,recognizability_rate_at_0.8_mean,recognizability_rate_at_0.8_std,recognizability_rate_at_0.8_min,recognizability_rate_at_0.8_max,class_coverage_mean,class_coverage_std,class_coverage_min,class_coverage_max,class_distribution_entropy_mean,class_distribution_entropy_std,class_distribution_entropy_min,class_distribution_entropy_max,inception_score_mean,inception_score_std,inception_score_min,inception_score_max,inception_score_std_mean,inception_score_std_std,inception_score_std_min,inception_score_std_max,feature_pairwise_distance_mean,feature_pairwise_distance_std,feature_pairwise_distance_min,feature_pairwise_distance_max,sobel_sharpness_mean,sobel_sharpness_std,sobel_sharpness_min,sobel_sharpness_max,nearest_neighbor_mean_distance_mean,nearest_neighbor_mean_distance_std,nearest_neighbor_mean_distance_min,nearest_neighbor_mean_distance_max,nearest_neighbor_median_distance_mean,nearest_neighbor_median_distance_std,nearest_neighbor_median_distance_min,nearest_neighbor_median_distance_max,memorization_rate_below_real_1pct_threshold_mean,memorization_rate_below_real_1pct_threshold_std,memorization_rate_below_real_1pct_threshold_min,memorization_rate_below_real_1pct_threshold_max,training_minutes_mean,training_minutes_std,training_minutes_min,training_minutes_max,sampling_total_seconds_mean,sampling_total_seconds_std,sampling_total_seconds_min,sampling_total_seconds_max,sampling_ms_per_image_mean,sampling_ms_per_image_std,sampling_ms_per_image_min,sampling_ms_per_image_max,trainable_parameters_mean,trainable_parameters_std,trainable_parameters_min,trainable_parameters_max,peak_gpu_memory_mb_mean,peak_gpu_memory_mb_std,peak_gpu_memory_mb_min,peak_gpu_memory_mb_max,final_training_loss_mean,final_training_loss_std,final_training_loss_min,final_training_loss_max,training_tail_cv_mean,training_tail_cv_std,training_tail_cv_min,training_tail_cv_max,training_loss_slope_mean,training_loss_slope_std,training_loss_slope_min,training_loss_slope_max,nonfinite_loss_count_mean,nonfinite_loss_count_std,nonfinite_loss_count_min,nonfinite_loss_count_max
DDPM,11.140296886544817,5.793598295464125,6.067112821018839,26.046434322990365,0.5297547054290772,0.34158796586990336,0.2880506992340088,1.4160955429077149,0.08875306569491126,0.04750340029856665,0.0418593977641177,0.1880789673187183,0.8406269669532775,0.01370474997138666,0.8198243379592896,0.8584882616996765,0.9404103100299835,0.0185880253379718,0.908828854560852,0.964767038822174,0.6711,0.02933488632252653,0.628,0.7138,10.0,0.0,10,10,0.9711422687053203,0.027836842932356023,0.8998121572684894,0.9922214963568812,6.136238179206848,0.27705309343386414,5.406249237060547,6.37583909034729,0.12038946238219836,0.033532309905168776,0.0877454283740758,0.2080777784736087,14.097582244873047,0.5548237672496528,13.190117835998535,14.90456485748291,0.6463827788829803,0.05910228157681868,0.5110311508178711,0.6986079216003418,1.6018587708473206,0.1111963240682862,1.4513732194900513,1.8399455547332764,1.5178314685821532,0.13265751570321327,1.365898609161377,1.7976776361465454,0.01171875,0.01120094435812842,0.0,0.03125,4.811488660666667,0.05886395186705876,4.714659456666717,4.905757705000057,40.86745513999995,0.5492023866669186,40.20309649999763,42.01455499999793,8.17349102799999,0.10984047733338417,8.040619299999525,8.402910999999586,5216833.0,0.0,5216833,5216833,6274.93408203125,0.0,6274.93408203125,6274.93408203125,0.07035838564665149,0.0003812064988393543,0.0694529063485819,0.0709272232548944,0.004735636564812131,0.001581469099423577,0.0022774490686486,0.0079248997945795,-0.0017493597903098402,8.761523170671915e-05,-0.001906210078362,-0.0016313764252906,0.0,0.0,0,0
VAE,43.323752109685216,4.507871446715321,37.11705155561245,51.24386180271759,1.8070572686195372,0.2684592618101083,1.519632649421692,2.4276010274887083,0.09726562709609943,0.013573048725244268,0.0749304003288939,0.1198306001335065,0.7170716643333435,0.009393187723052846,0.702627956867218,0.7306039929389954,0.7393641650676728,0.014010875415027907,0.7159438133239746,0.759417712688446,0.43372,0.01586868334522783,0.4108,0.4544,10.0,0.0,10,10,0.940984553144218,0.013199496938450463,0.9180194521956524,0.9597319045267092,4.107226033210755,0.1374289441369386,3.866130781173706,4.274375915527344,0.1183960272070536,0.039352612606758215,0.0689964371744685,0.1775759394008051,9.928865909576416,0.3109938988188921,9.32789421081543,10.309739112854004,0.548917031288147,0.006238451735327717,0.5396980047225952,0.5602914094924927,2.1732831835746764,0.15028546692038366,1.9291449785232544,2.364202976226806,2.113138198852539,0.15056720788090233,1.904780626296997,2.318427562713623,0.003125,0.004034357652299392,0.0,0.0078125,0.41063877583333425,0.02020539384128963,0.3683701150000464,0.4255413700000038,0.03917981000013238,0.003111790348562144,0.0340066999997361,0.0426974000001791,0.00783596200002643,0.0006223580697124224,0.0068013399999472,0.0085394800000358,1700865.0,0.0,1700865,1700865,558.15380859375,0.0,558.15380859375,558.15380859375,236.38673684082033,0.09494363815749118,236.2849939860026,236.558708577474,0.000498543965661,3.1232431265992294e-05,0.0004512742383938,0.0005416644023628,-1.565434198885093,0.09568859034411654,-1.712161035606973,-1.4172162093099003,0.0,0.0,0,0
