train_loss,test_loss,test_accuracy,lr
1.201775368976593,0.694085595703125,0.7564,0.001
0.5017306737740834,0.45045022888183595,0.8407,0.0009829629131445341
0.37734475070635476,0.3931154357910156,0.8655,0.0009330127018922195
0.3185197052319845,0.3670189361572266,0.8701,0.0008535533905932737
0.2897586227416992,0.29799158020019534,0.8894,0.00075
0.2598653299252192,0.2908539764404297,0.8945,0.0006294095225512604
0.24423749091625213,0.27775947418212893,0.9005,0.0005
0.22873564059734344,0.26342735595703126,0.9029,0.0003705904774487397
0.21759211389223734,0.25489327697753905,0.9054,0.0002500000000000001
0.20943017724355062,0.2553955108642578,0.9072,0.00014644660940672628
0.2024624437570572,0.24596915588378906,0.9117,6.698729810778065e-05
0.19872451395988464,0.24378324432373047,0.9117,1.70370868554659e-05
