step,noise_mse
1,1.1075527667999268
51,0.8082761764526367
101,0.4998587667942047
151,0.40802085399627686
201,0.3511940836906433
251,0.2970297634601593
301,0.33367982506752014
351,0.29085057973861694
401,0.3092566728591919
451,0.33596271276474
501,0.28741204738616943
551,0.2543712258338928
601,0.2757243812084198
651,0.27773529291152954
701,0.28448715806007385
751,0.2466253638267517
801,0.2802053391933441
851,0.2801308333873749
901,0.257611483335495
951,0.26736342906951904
1001,0.25201767683029175
1051,0.24217325448989868
1101,0.2626487910747528
1151,0.2507343292236328
1201,0.23759542405605316
1251,0.23015406727790833
1301,0.23264315724372864
1351,0.2356574833393097
1401,0.22168555855751038
1451,0.2343696504831314
1501,0.22816255688667297
1551,0.2572122812271118
1601,0.2291165590286255
1651,0.2456968128681183
1701,0.24286751449108124
1751,0.22146272659301758
1801,0.2106170356273651
1851,0.2187976986169815
1901,0.2446090131998062
1951,0.24422922730445862
2001,0.22863683104515076
2051,0.2267673909664154
2101,0.2488970309495926
2151,0.23877359926700592
2201,0.2285948395729065
2251,0.22014403343200684
2301,0.21674545109272003
2351,0.21180154383182526
2401,0.21485023200511932
2451,0.22504907846450806
2501,0.20567160844802856
2551,0.2099597454071045
2601,0.22467806935310364
2651,0.21322619915008545
2701,0.2046353667974472
2751,0.1974257528781891
2801,0.20715735852718353
2851,0.19709426164627075
2901,0.2106911540031433
2951,0.18555647134780884
3001,0.19844162464141846
3051,0.2166445553302765
3101,0.1722719967365265
3151,0.19888059794902802
3201,0.21067959070205688
3251,0.17975139617919922
3301,0.1938210427761078
3351,0.20805451273918152
3401,0.19013580679893494
3451,0.19633349776268005
3501,0.1900978982448578
3551,0.19197003543376923
3601,0.21246978640556335
3651,0.2075645923614502
3701,0.2079567015171051
3751,0.21270975470542908
3801,0.18614661693572998
3851,0.20095548033714294
3901,0.20410341024398804
3951,0.18263687193393707
4001,0.18346145749092102
4051,0.2110578566789627
4101,0.2293567657470703
4151,0.19400334358215332
4201,0.19210068881511688
4251,0.20243284106254578
4301,0.1867625117301941
4351,0.2141818404197693
4401,0.1956755816936493
4451,0.19668057560920715
4501,0.18407435715198517
4551,0.19054602086544037
4601,0.157272070646286
4651,0.1882372498512268
4701,0.17816518247127533
4751,0.17310583591461182
4801,0.18161503970623016
4851,0.19028455018997192
4901,0.190546914935112
4951,0.19012606143951416
5000,0.18848271667957306
