class_index,class_name,real_test_distribution,vae_distribution,ddpm_distribution
0,T-shirt/top,0.0986,0.1218,0.0962
1,Trouser,0.0992,0.0916,0.1004
2,Pullover,0.1018,0.2218,0.1212
3,Dress,0.0968,0.1068,0.1534
4,Coat,0.1066,0.0512,0.0906
5,Sandal,0.1,0.0162,0.0904
6,Shirt,0.0968,0.0702,0.0966
7,Sneaker,0.1042,0.0998,0.12
8,Bag,0.097,0.1348,0.0558
9,Ankle boot,0.099,0.0858,0.0754
