train_loss,test_loss,test_accuracy,lr
1.1739497120221456,0.6644416748046875,0.7508,0.001
0.4998249014377594,0.4699996704101562,0.8347,0.0009829629131445341
0.3705939760049184,0.39123333129882815,0.8525,0.0009330127018922195
0.3195145426591237,0.3592108337402344,0.8692,0.0008535533905932737
0.288296328719457,0.30531016845703124,0.8892,0.00075
0.26220159160296125,0.32116835327148435,0.8838,0.0006294095225512604
0.24731601227919262,0.2738137054443359,0.9022,0.0005
0.23392881404558818,0.27483343811035155,0.9002,0.0003705904774487397
0.22263070267041524,0.2519829666137695,0.9083,0.0002500000000000001
0.2131621773401896,0.251672444152832,0.9076,0.00014644660940672628
0.2072762469291687,0.24349881591796874,0.9121,6.698729810778065e-05
0.2011384630203247,0.24089190979003905,0.9135,1.70370868554659e-05
