clip_threshold,latent_mean,latent_std,latent_abs_max,model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
1.5,-0.012286463752388954,0.6945067644119263,1.5,ldm_clip_1.5,81.52539525712346,0.9431800842285156,0.07008427381515503,0.9462406039237976,0.9997064471244812,0.895,10,0.9137235634757038,0.05767736845910386,7.201657295227051,20.0646915435791,0.4673393666744232,1.9317610550000002,6.442523599995184,6.442523599995184,7743439,482.92236328125,482.92236328125,482.92236328125,0.25408315658569336,0.07701046091258824,0
2.0,-0.003419075161218643,0.7688623666763306,2.0,ldm_clip_2.0,67.16990695455684,0.8053073883056641,0.07890136539936066,0.9479680061340332,0.999793529510498,0.888,10,0.949232572406705,0.031406128527528804,7.791118621826172,20.47403907775879,0.49930819869041443,1.9317610550000002,0.7164933999956702,0.7164933999956702,7743439,482.92236328125,482.92236328125,482.92236328125,0.25408315658569336,0.07701046091258824,0
2.5,-0.0005553139490075409,0.8155245184898376,2.5,ldm_clip_2.5,60.55713999865397,0.7722130417823792,0.06866316497325897,0.9519706964492798,0.9998461008071899,0.902,10,0.9641959013907678,0.02147615971786135,8.126608848571777,20.52785301208496,0.5068969130516052,1.9317610550000002,0.7197490999969887,0.7197490999969887,7743439,482.92236328125,482.92236328125,482.92236328125,0.25408315658569336,0.07701046091258824,0
3.0,-0.0031239548698067665,0.8424535989761353,3.0,ldm_clip_3.0,58.7773276575452,0.7560437917709351,0.07337339222431183,0.9458403587341309,0.9998252391815186,0.885,10,0.9609033206883467,0.02421521616081062,7.995932579040527,20.37200927734375,0.5079078078269958,1.9317610550000002,0.7152420999991591,0.7152420999991591,7743439,482.92236328125,482.92236328125,482.92236328125,0.25408315658569336,0.07701046091258824,0
4.0,-0.005799897015094757,0.8530513048171997,4.0,ldm_clip_4.0,59.30942132563577,0.752487301826477,0.06163235381245613,0.9523497223854065,0.9998314380645752,0.904,10,0.9577086876662574,0.02588865346801221,8.030893325805664,20.78868293762207,0.505268394947052,1.9317610550000002,0.7248193999985233,0.7248193999985233,7743439,482.92236328125,482.92236328125,482.92236328125,0.25408315658569336,0.07701046091258824,0
6.0,-0.011780922301113605,0.8561349511146545,6.0,ldm_clip_6.0,58.79055033859531,0.749348521232605,0.07055485993623734,0.9572011828422546,0.9998315572738647,0.917,10,0.9590178899655074,0.025222006380225644,8.160467147827148,20.745351791381836,0.5024546980857849,1.9317610550000002,0.7192613999941386,0.7192613999941386,7743439,482.92236328125,482.92236328125,482.92236328125,0.25408315658569336,0.07701046091258824,0
