step,noise_mse
1,1.0778954029083252
51,0.41561469435691833
101,0.1788325160741806
151,0.12397079169750214
201,0.07547898590564728
251,0.0720643550157547
301,0.052103474736213684
351,0.0588548481464386
401,0.04990622028708458
451,0.047062020748853683
501,0.04185546562075615
551,0.04194589704275131
601,0.03841013461351395
651,0.0380668118596077
701,0.0357220433652401
751,0.03614315390586853
801,0.032588642090559006
851,0.03152637183666229
901,0.03226765617728233
951,0.03540809452533722
1001,0.04293913394212723
1051,0.034459132701158524
1101,0.03374285250902176
1151,0.02847769856452942
1201,0.03232058882713318
1251,0.03534603863954544
1301,0.03299298137426376
1351,0.02795364521443844
1401,0.034044764935970306
1451,0.03588403761386871
1501,0.03517414629459381
1551,0.03164280205965042
1601,0.031295500695705414
1651,0.028478454798460007
1701,0.032913826406002045
1751,0.029348861426115036
1801,0.026699449867010117
1851,0.030467301607131958
1901,0.028181441128253937
1951,0.026967719197273254
2001,0.025876183062791824
2051,0.02964087948203087
2101,0.029145879670977592
2151,0.03102974221110344
2201,0.029284801334142685
2251,0.02822933718562126
2301,0.022804638370871544
2351,0.027425967156887054
2401,0.025559602305293083
2451,0.028226306661963463
2501,0.02479434572160244
2551,0.0269174724817276
2601,0.024085914716124535
2651,0.026319047436118126
2701,0.02310888096690178
2751,0.027127256616950035
2801,0.028395753353834152
2851,0.025921370834112167
2901,0.026516443118453026
2951,0.02391025982797146
3001,0.02488657645881176
3051,0.02650255337357521
3101,0.0301806703209877
3151,0.025098230689764023
3201,0.023404603824019432
3251,0.022715754806995392
3301,0.02217814326286316
3351,0.026001226156949997
3401,0.02568293735384941
3451,0.027357444167137146
3501,0.024682974442839622
3551,0.02533923089504242
3601,0.026842497289180756
3651,0.02309916540980339
3701,0.0213887020945549
3751,0.022937342524528503
3801,0.020829737186431885
3851,0.027413561940193176
3901,0.028272617608308792
3951,0.024117764085531235
4001,0.02765876054763794
4051,0.023651069030165672
4101,0.025231193751096725
4151,0.02377917617559433
4201,0.025987332686781883
4251,0.024832597002387047
4301,0.02620270475745201
4351,0.021504012867808342
4401,0.02363233081996441
4451,0.02703981101512909
4501,0.02035406604409218
4551,0.023919444531202316
4601,0.02575213834643364
4651,0.025728343054652214
4701,0.027462389320135117
4751,0.02330750599503517
4801,0.023844292387366295
4851,0.01951531693339348
4901,0.022092124447226524
4951,0.026114419102668762
5000,0.019996371120214462
