step,loss,reconstruction,kl,beta
1,2179.32275390625,2179.28173828125,8.211654663085938,0.005
51,811.4107666015625,783.214599609375,110.57325744628906,0.255
101,753.8499755859375,718.4190063476562,70.1602783203125,0.505
151,731.8445434570312,680.625244140625,67.84015655517578,0.755
201,732.0714111328125,688.9612426757812,43.11015701293945,1.0
251,708.9161376953125,666.6464233398438,42.269691467285156,1.0
301,710.780517578125,666.2655029296875,44.515037536621094,1.0
351,707.4991455078125,666.7711181640625,40.727996826171875,1.0
401,708.27099609375,662.4744873046875,45.79649353027344,1.0
451,695.4989624023438,657.1530151367188,38.345970153808594,1.0
501,695.3744506835938,654.022705078125,41.35171890258789,1.0
551,679.4589233398438,641.6893310546875,37.769588470458984,1.0
601,695.2017211914062,656.3264770507812,38.87523651123047,1.0
651,680.6559448242188,640.7054443359375,39.95051193237305,1.0
701,670.47998046875,635.4058837890625,35.0740966796875,1.0
751,675.3505859375,638.8992309570312,36.451385498046875,1.0
801,656.5367431640625,619.6145629882812,36.92215347290039,1.0
851,695.5873413085938,659.6196899414062,35.96767807006836,1.0
901,673.613037109375,638.9815673828125,34.63145065307617,1.0
951,669.5406494140625,635.2989501953125,34.241703033447266,1.0
1001,690.6513671875,655.309814453125,35.341522216796875,1.0
1051,666.5458374023438,630.9596557617188,35.58616638183594,1.0
1101,678.79296875,642.4150390625,36.37795639038086,1.0
1151,682.4354858398438,647.5043334960938,34.931148529052734,1.0
1201,655.528564453125,621.9830322265625,33.54555130004883,1.0
1251,700.9547119140625,668.1484375,32.8062629699707,1.0
1301,663.7802734375,627.98095703125,35.79930877685547,1.0
1351,672.8043823242188,640.1424560546875,32.66191101074219,1.0
1401,670.9861450195312,637.2077026367188,33.77845764160156,1.0
1451,671.149658203125,637.1000366210938,34.04960632324219,1.0
1501,650.9744873046875,615.842529296875,35.131935119628906,1.0
1551,660.6600952148438,626.9111328125,33.748966217041016,1.0
1601,666.6480712890625,634.586181640625,32.06189727783203,1.0
1651,675.5969848632812,641.5361328125,34.06084060668945,1.0
1701,674.4559326171875,641.6997680664062,32.756195068359375,1.0
1751,668.3582763671875,635.718017578125,32.64026641845703,1.0
1801,656.7925415039062,623.8900146484375,32.902530670166016,1.0
1851,657.8307495117188,625.0028076171875,32.827919006347656,1.0
1901,642.6631469726562,610.7769775390625,31.88616371154785,1.0
1951,671.892822265625,639.0997314453125,32.79308319091797,1.0
2001,656.9342651367188,624.9193725585938,32.01487731933594,1.0
2051,647.7871704101562,615.4459228515625,32.34127426147461,1.0
2101,646.4352416992188,614.3445434570312,32.09071350097656,1.0
2151,665.8693237304688,634.49462890625,31.37471580505371,1.0
2201,666.2571411132812,634.2408447265625,32.01629638671875,1.0
2251,671.6444091796875,641.0493774414062,30.595046997070312,1.0
2301,673.1107788085938,641.365478515625,31.74530792236328,1.0
2351,666.10498046875,634.52490234375,31.580087661743164,1.0
2401,671.5213623046875,640.25732421875,31.264026641845703,1.0
2451,668.9223022460938,636.92822265625,31.99407386779785,1.0
2501,686.0928955078125,654.224365234375,31.8685302734375,1.0
2551,656.8464965820312,624.7113037109375,32.135215759277344,1.0
2601,652.0120849609375,620.49853515625,31.513538360595703,1.0
2651,651.0779418945312,619.4644775390625,31.61345672607422,1.0
2701,648.5225830078125,617.6564331054688,30.866165161132812,1.0
2751,664.8388671875,633.3349609375,31.503936767578125,1.0
2801,665.5784912109375,632.7977294921875,32.78076171875,1.0
2851,665.7197875976562,634.777587890625,30.94222640991211,1.0
2901,649.74560546875,618.249267578125,31.496337890625,1.0
2951,670.1070556640625,638.2439575195312,31.86309051513672,1.0
3000,665.3731689453125,633.6336059570312,31.739540100097656,1.0
