class,real,vae,ddpm,ldm
T-shirt/top,0.1056,0.298,0.1116,0.116
Trouser,0.0964,0.0228,0.048,0.1026
Pullover,0.1058,0.1834,0.1458,0.1662
Dress,0.101,0.089,0.0902,0.1174
Coat,0.103,0.0264,0.1192,0.0268
Sandal,0.0972,0.0838,0.0634,0.0442
Shirt,0.0904,0.092,0.1346,0.1116
Sneaker,0.1028,0.009,0.065,0.0916
Bag,0.1048,0.0674,0.1238,0.0772
Ankle boot,0.093,0.1282,0.0984,0.1464
