train_loss,test_loss,test_accuracy,lr
1.2108066693941753,0.6573541748046875,0.7543,0.001
0.5038232926209768,0.4511340606689453,0.836,0.0009829629131445341
0.3737791534582774,0.36935943298339846,0.8635,0.0009330127018922195
0.3135974991003672,0.35332022705078125,0.8716,0.0008535533905932737
0.28454795722961423,0.3097250213623047,0.8881,0.00075
0.26049743037223816,0.283615153503418,0.8943,0.0006294095225512604
0.23917742239634196,0.27680335235595704,0.8977,0.0005
0.22757410049438476,0.26987237091064453,0.9035,0.0003705904774487397
0.21548100248972574,0.2620490234375,0.9074,0.0002500000000000001
0.20758222516377767,0.24329011993408203,0.9134,0.00014644660940672628
0.19874841552575429,0.24020540771484375,0.9142,6.698729810778065e-05
0.19680015862782796,0.24094185180664063,0.9146,1.70370868554659e-05
