generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
81,29,0.4933719,True
83,3986,0.53916156,False
42,7330,0.6034872,False
41,4521,0.6098631,False
20,1089,0.624426,False
107,1848,0.6274488,False
116,373,0.67831105,False
64,640,0.7404585,False
50,8073,0.77221334,False
29,3724,0.80514246,False
92,5212,0.8115134,False
37,3295,0.8175269,False
69,42,0.86166245,False
6,7934,0.86862475,False
121,7369,0.87969583,False
101,1800,0.93226075,False
103,9620,0.93592805,False
19,1909,0.9432927,False
62,7628,0.9613661,False
46,914,0.96492875,False
72,1022,0.9671973,False
111,968,0.9690787,False
82,1543,0.97997063,False
67,5441,0.98738146,False
89,4098,0.9922567,False
66,7494,1.0132973,False
109,2541,1.0142118,False
93,2318,1.0202419,False
12,5961,1.020967,False
45,5422,1.0661522,False
74,5061,1.0722638,False
49,1531,1.0774525,False
80,7476,1.0946007,False
108,6222,1.0950814,False
98,1290,1.1173617,False
38,1453,1.1200622,False
105,1743,1.1210495,False
75,9776,1.1353117,False
61,1701,1.1365677,False
63,8633,1.1373663,False
30,5512,1.150243,False
90,6186,1.1528137,False
113,5923,1.1780825,False
10,6318,1.1825393,False
76,8685,1.1905222,False
9,4091,1.1994923,False
27,5138,1.2048328,False
54,3990,1.2082316,False
73,8871,1.2335774,False
86,5069,1.2353728,False
117,4254,1.2437918,False
15,4142,1.2544689,False
127,3146,1.2550557,False
36,7845,1.2763399,False
123,9254,1.3308107,False
57,7953,1.3343775,False
39,5777,1.3370692,False
24,6300,1.3685261,False
77,2986,1.369752,False
87,6106,1.3701252,False
22,4692,1.3749557,False
31,7843,1.3904412,False
13,1959,1.4010292,False
55,2162,1.4027056,False
100,4700,1.4046106,False
118,4265,1.418227,False
26,6475,1.4183481,False
0,722,1.4305063,False
84,6621,1.4353582,False
85,7459,1.4531696,False
43,600,1.4725655,False
94,9943,1.4837575,False
1,8680,1.4905403,False
104,7449,1.5133177,False
115,5447,1.5199504,False
124,8289,1.5219156,False
95,5694,1.5223203,False
112,6080,1.5279555,False
44,244,1.5296149,False
68,1559,1.5347139,False
97,5482,1.5457982,False
96,4953,1.5461893,False
102,4082,1.5510346,False
48,8498,1.5667033,False
3,5123,1.5728235,False
40,379,1.6060246,False
60,4311,1.6155449,False
106,9130,1.6510365,False
91,7991,1.661547,False
65,9693,1.6657695,False
33,1624,1.6885847,False
56,5788,1.7162846,False
2,3109,1.7337723,False
5,3530,1.7483109,False
25,366,1.7779167,False
78,5620,1.7896168,False
17,3674,1.7991611,False
58,4222,1.8170824,False
4,5402,1.8187128,False
99,9896,1.8265865,False
51,2942,1.85144,False
114,5562,1.8815316,False
14,5115,1.8997025,False
70,2723,1.9442484,False
110,2755,2.0113547,False
71,1216,2.0324628,False
18,2911,2.0587206,False
32,7812,2.1185653,False
8,9415,2.1632903,False
23,4944,2.1747308,False
21,6110,2.1972258,False
59,2104,2.1986246,False
52,8067,2.2125,False
126,319,2.2162385,False
119,588,2.2349076,False
120,2017,2.2360783,False
34,4960,2.2371323,False
79,7710,2.2892134,False
16,3017,2.290974,False
11,9285,2.3150299,False
35,3910,2.3282876,False
88,4367,2.374865,False
28,429,2.4656663,False
122,1083,2.5453107,False
53,906,2.7786956,False
125,4796,2.8639145,False
47,7856,2.9481645,False
7,9574,3.1437397,False
