generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
50,767,0.4667274,True
62,6301,0.5220875,False
113,8179,0.53863066,False
3,1906,0.61179906,False
67,1924,0.72738636,False
22,3353,0.85261905,False
32,8840,0.86914504,False
18,2233,0.87663335,False
30,9396,0.8991251,False
105,4956,0.89956623,False
45,9724,0.9425361,False
12,4422,0.9876017,False
59,4066,0.99679434,False
101,9253,1.0141854,False
1,4692,1.0903791,False
120,1412,1.1294467,False
103,7894,1.1298174,False
9,5016,1.1378759,False
104,5819,1.2215762,False
34,8086,1.2461779,False
31,5718,1.2508832,False
57,6916,1.2605194,False
127,8035,1.3035907,False
37,9810,1.3541116,False
76,8837,1.3651533,False
38,5018,1.3815526,False
7,7461,1.451181,False
48,5180,1.4525172,False
21,1422,1.4641235,False
68,2977,1.4799488,False
106,2137,1.4909931,False
40,7948,1.4948107,False
56,3107,1.5096797,False
117,2501,1.5182002,False
35,4066,1.5536002,False
10,4545,1.5613203,False
60,5848,1.5671659,False
53,7131,1.574412,False
109,7982,1.5823929,False
43,4991,1.6054568,False
52,1933,1.6070706,False
77,2245,1.6452676,False
91,1769,1.6493814,False
78,2639,1.6643193,False
121,5819,1.6660465,False
25,8100,1.6990908,False
107,696,1.7429078,False
42,445,1.7441111,False
4,8964,1.7450776,False
2,8084,1.765108,False
8,5032,1.7693696,False
33,824,1.7866194,False
20,5847,1.8109555,False
97,9702,1.8114831,False
95,9122,1.8261489,False
108,4137,1.8278725,False
0,5381,1.8342615,False
93,7283,1.8407439,False
116,902,1.8539318,False
115,2777,1.8614153,False
92,5855,1.8826368,False
51,9063,1.8880855,False
55,4520,1.8938103,False
126,2350,1.8980983,False
72,9558,1.9114629,False
123,3453,1.915486,False
114,6889,1.9228791,False
81,2148,1.9418964,False
87,1529,1.9470403,False
98,8450,1.9564795,False
26,103,1.9590267,False
94,7193,1.9840835,False
15,8556,2.00118,False
6,3341,2.0059702,False
24,6316,2.0204055,False
46,1818,2.0416763,False
14,8282,2.0478845,False
79,8879,2.0646212,False
63,4552,2.089617,False
58,325,2.114162,False
27,6074,2.1487856,False
99,9285,2.153933,False
70,7131,2.1683743,False
100,2264,2.1816118,False
89,2498,2.217449,False
61,308,2.2404463,False
28,1807,2.2409315,False
5,8736,2.2502017,False
86,2602,2.2644546,False
11,4154,2.3040774,False
82,7894,2.3067698,False
88,4230,2.3230252,False
119,5115,2.3275917,False
118,5046,2.3322177,False
16,3150,2.344705,False
13,5620,2.3817637,False
74,6614,2.3862581,False
125,9925,2.4055777,False
23,9725,2.418147,False
102,7894,2.4282029,False
96,3120,2.431567,False
80,4665,2.4955425,False
44,4081,2.510637,False
66,5620,2.510934,False
73,9575,2.5227401,False
17,7371,2.5581017,False
124,1807,2.5681815,False
54,5688,2.583859,False
111,1807,2.6048884,False
69,7894,2.634176,False
85,3227,2.6818078,False
71,7894,2.6855645,False
41,3219,2.6896403,False
122,5630,2.6957195,False
75,6468,2.6974862,False
83,8282,2.706903,False
84,360,2.7135897,False
64,8105,2.7330632,False
90,1807,2.7966084,False
47,1185,2.8677375,False
49,1750,2.9105062,False
39,3453,2.912675,False
110,7193,2.9894652,False
19,5368,3.1470659,False
65,8282,3.2140508,False
36,1807,3.2339296,False
112,1535,3.3580167,False
29,1827,4.632157,False
