generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
90,9834,0.58243746,True
32,7387,0.6262865,False
27,6651,0.6293792,False
86,4428,0.78813857,False
22,9740,0.80583394,False
36,2079,0.8155554,False
124,5607,0.8514908,False
102,842,0.87222284,False
6,6801,0.8803894,False
8,4163,0.88639176,False
74,9865,0.90014064,False
91,4885,0.90967834,False
7,8398,0.9204753,False
100,5174,0.92081094,False
29,9250,0.92245,False
67,8769,0.9424511,False
69,8770,0.95353717,False
3,3957,0.97016656,False
68,2470,0.97076404,False
125,2651,0.9826937,False
106,4872,1.0329797,False
12,7791,1.0503963,False
1,494,1.0583522,False
2,6069,1.1056585,False
123,3869,1.1156055,False
104,588,1.1334589,False
41,8489,1.1419152,False
65,3596,1.1425998,False
64,6435,1.1428568,False
47,5204,1.1486965,False
116,4100,1.1675049,False
40,2651,1.1699756,False
51,7843,1.1730349,False
49,4879,1.1846794,False
19,8059,1.2144418,False
37,689,1.2256136,False
112,7587,1.2288183,False
107,7405,1.2346902,False
66,5174,1.2447399,False
63,7644,1.2510371,False
28,305,1.2604468,False
26,3167,1.2634288,False
46,7568,1.2646179,False
5,1413,1.3121076,False
59,8456,1.3122268,False
18,8181,1.3369536,False
93,6425,1.3477666,False
58,4629,1.3531337,False
80,6633,1.3574908,False
117,7555,1.3724508,False
17,9971,1.3724605,False
20,8945,1.4022948,False
31,2242,1.4318151,False
13,2343,1.4488462,False
54,8653,1.4583201,False
98,5717,1.4600546,False
72,7757,1.4644713,False
99,2981,1.4691603,False
21,1674,1.4748577,False
110,9768,1.479671,False
9,7103,1.4952316,False
56,1572,1.5070938,False
57,7300,1.5081313,False
34,1197,1.5230894,False
92,5688,1.5264543,False
30,2311,1.5658436,False
14,5072,1.6012361,False
101,2501,1.6298381,False
96,6598,1.6388674,False
39,5920,1.6500635,False
70,8672,1.6533892,False
50,5529,1.6674689,False
103,4941,1.6749753,False
60,324,1.7151597,False
24,8693,1.716658,False
77,4446,1.7199365,False
105,783,1.7434876,False
4,336,1.7549875,False
45,4924,1.7589558,False
10,722,1.7986107,False
85,9720,1.8084714,False
122,1601,1.8087013,False
44,3666,1.8129882,False
62,2807,1.8217045,False
61,6633,1.8286153,False
76,2964,1.8299291,False
48,4458,1.833172,False
111,4446,1.872335,False
16,1022,1.8921881,False
89,854,1.9193445,False
52,2514,1.9218016,False
113,9119,1.9396065,False
95,2181,1.9414082,False
119,7910,1.9437892,False
75,6976,1.9444652,False
78,7792,1.946182,False
25,1675,1.9539676,False
121,3323,1.9647496,False
23,26,1.9680465,False
115,2598,1.9766059,False
114,3326,1.981525,False
0,1522,1.9862542,False
108,7792,1.995853,False
35,2004,2.005734,False
73,1464,2.0096812,False
109,4423,2.0139778,False
11,3429,2.0150373,False
33,360,2.037936,False
126,8625,2.0620792,False
83,5719,2.102605,False
81,3699,2.1310287,False
97,8073,2.1824825,False
87,4446,2.1868308,False
82,5396,2.2100496,False
94,9366,2.2103586,False
79,9116,2.2325475,False
120,645,2.2700858,False
38,3634,2.2740674,False
55,4210,2.282116,False
42,483,2.30305,False
127,2272,2.3618405,False
15,1337,2.3691616,False
118,460,2.398529,False
53,2126,2.763395,False
71,1139,2.8462896,False
43,2883,3.0347917,False
84,4753,3.1390698,False
88,472,3.3368979,False
