generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
72,4416,0.6182003,False
30,1734,0.9141334,False
1,2505,1.003397,False
104,1477,1.0832962,False
19,1110,1.1016283,False
86,6697,1.1506028,False
38,5439,1.1541697,False
21,3420,1.1789209,False
37,2806,1.1872671,False
69,9656,1.2139328,False
15,1413,1.2325906,False
55,2633,1.2431637,False
66,2720,1.2443981,False
65,6634,1.2641397,False
102,3090,1.2651502,False
76,6679,1.3134152,False
59,8174,1.3139001,False
127,4997,1.3268434,False
118,9398,1.3315687,False
23,9476,1.3352635,False
89,3513,1.386943,False
4,4234,1.3916944,False
116,3822,1.3995078,False
107,8464,1.4294087,False
119,7312,1.4357408,False
101,8174,1.4427652,False
24,726,1.4448664,False
73,503,1.4694563,False
50,9755,1.4855336,False
126,4073,1.5245464,False
34,1230,1.5516382,False
39,6627,1.5779171,False
53,8081,1.5875242,False
9,2486,1.5885427,False
16,3177,1.5968872,False
14,8770,1.5973709,False
8,1719,1.6017554,False
10,2959,1.6064118,False
44,7264,1.6334665,False
113,7011,1.6414967,False
3,3274,1.6556867,False
85,8876,1.6832539,False
45,3779,1.6939079,False
84,1230,1.7008759,False
90,250,1.7100476,False
48,4906,1.7396413,False
47,9367,1.7420714,False
105,6071,1.746131,False
49,5430,1.7608134,False
111,1230,1.8488368,False
96,9889,1.8673999,False
80,8019,1.8790058,False
52,1259,1.8828465,False
82,8475,1.8878809,False
29,6570,1.9292891,False
60,1617,1.9325972,False
79,963,1.9348757,False
56,4668,1.9662606,False
35,8876,2.0122287,False
112,6570,2.0326092,False
33,9307,2.0430975,False
109,6672,2.0503795,False
5,5074,2.0602052,False
68,8464,2.0776963,False
106,8739,2.115293,False
94,7786,2.1168802,False
7,9302,2.1261146,False
58,9679,2.1272867,False
54,1679,2.1327705,False
27,8140,2.142871,False
18,1259,2.1510818,False
70,3429,2.2046695,False
67,6760,2.211429,False
91,731,2.2157714,False
83,93,2.2251036,False
26,5477,2.2298129,False
31,5169,2.2390523,False
17,5119,2.2618427,False
77,7012,2.264057,False
20,8464,2.2779207,False
22,8074,2.3104057,False
12,4654,2.3176813,False
97,2721,2.325715,False
75,4654,2.3331718,False
123,9642,2.343537,False
95,8843,2.3533974,False
108,2897,2.3566394,False
28,7228,2.3679028,False
87,8950,2.3930643,False
93,4706,2.4166884,False
99,6422,2.430787,False
115,3429,2.4717786,False
88,9859,2.4914153,False
114,5320,2.4996173,False
124,7228,2.525707,False
117,7228,2.5384061,False
51,5962,2.5610757,False
64,7116,2.570124,False
103,3015,2.5958562,False
2,93,2.6153603,False
40,3914,2.659429,False
6,2103,2.6757717,False
125,7106,2.7888176,False
25,1337,2.8017366,False
78,7228,2.8713415,False
11,7228,2.9149876,False
63,2132,2.9231985,False
120,2272,2.9358025,False
41,2102,2.9782727,False
36,744,2.9894848,False
121,2618,2.994736,False
61,5442,3.0056581,False
100,6282,3.2048514,False
98,3942,3.2489362,False
42,9307,3.266085,False
57,3893,3.3186352,False
43,9307,3.3346708,False
62,6422,3.4517162,False
0,7633,3.4597073,False
74,1521,3.5246038,False
32,3786,3.5339317,False
122,6282,3.6077893,False
13,7015,3.6082916,False
110,5802,4.237196,False
92,7082,4.3424983,False
81,3149,4.4420605,False
71,1749,4.5693483,False
46,5320,4.6088367,False
