class_index,class_name,real_test_distribution,vae_distribution,ddpm_distribution
0,T-shirt/top,0.098,0.1284,0.071
1,Trouser,0.1032,0.0714,0.0924
2,Pullover,0.097,0.1698,0.0904
3,Dress,0.0972,0.1176,0.149
4,Coat,0.105,0.0508,0.0834
5,Sandal,0.0974,0.0182,0.1766
6,Shirt,0.0968,0.076,0.0938
7,Sneaker,0.1072,0.0782,0.13
8,Bag,0.1016,0.1552,0.0544
9,Ankle boot,0.0966,0.1344,0.059
