class,real,vae,ddpm,ldm
T-shirt/top,0.1056,0.287,0.1046,0.1104
Trouser,0.0964,0.0312,0.0438,0.0974
Pullover,0.1058,0.1884,0.135,0.1702
Dress,0.101,0.0914,0.0992,0.1002
Coat,0.103,0.0288,0.1168,0.0408
Sandal,0.0972,0.075,0.0614,0.039
Shirt,0.0904,0.0994,0.133,0.1276
Sneaker,0.1028,0.011,0.0702,0.0942
Bag,0.1048,0.0598,0.1372,0.0768
Ankle boot,0.093,0.128,0.0988,0.1434
