model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
VAE,116.95307072976365,1.094205617904663,0.06906311959028244,0.7962546944618225,0.8640795350074768,0.5758,10,0.8714893172795134,0.07427767745921847,4.364278793334961,13.058086395263672,0.5516033172607422,1.61133872666663,0.18047010000009323,0.03609402000001865,1955211,1498.6181640625,6302.48388671875,6302.48388671875,945.7109985351562,0.015644913830281538,0
DDPM,28.1304920046601,0.31937047839164734,0.031668346375226974,0.926978588104248,0.9982484579086304,0.8496,10,0.9775284373836246,0.01292344217145669,7.838968276977539,19.54210090637207,0.5972816944122314,5.554151484999966,53.0802377,10.61604754,5787075,3104.9501953125,7682.5322265625,7682.5322265625,0.02444772981107235,0.06790353007153668,0
LDM,52.135203944570634,0.703529953956604,0.03654351457953453,0.948188066482544,0.9998182058334351,0.892,10,0.9641008243894487,0.02267481784777714,8.094408988952637,20.331310272216797,0.5085395574569702,3.5451399499999146,3.821999899999355,0.764399979999871,7743439,1498.6181640625,5195.8330078125,5195.8330078125,0.24904385209083557,0.06890238553112787,0
