step,noise_mse
1,1.143407940864563
51,0.7907131910324097
101,0.5422800779342651
151,0.4246423542499542
201,0.3855166435241699
251,0.30282825231552124
301,0.32679206132888794
351,0.2972291111946106
401,0.314413458108902
451,0.29151448607444763
501,0.27800339460372925
551,0.2890779972076416
601,0.28197696805000305
651,0.27551859617233276
701,0.2758582830429077
751,0.2755976617336273
801,0.26641249656677246
851,0.27029579877853394
901,0.2516492009162903
951,0.2551913559436798
1001,0.2862941324710846
1051,0.24653975665569305
1101,0.238981232047081
1151,0.2387835681438446
1201,0.25312164425849915
1251,0.25001364946365356
1301,0.2729724645614624
1351,0.23463404178619385
1401,0.2599034607410431
1451,0.2539159059524536
1501,0.22620700299739838
1551,0.2639673948287964
1601,0.22311663627624512
1651,0.241128072142601
1701,0.23804020881652832
1751,0.22566261887550354
1801,0.22612886130809784
1851,0.22386839985847473
1901,0.2131655365228653
1951,0.20982439815998077
2001,0.22054451704025269
2051,0.21292570233345032
2101,0.22704994678497314
2151,0.22342140972614288
2201,0.2060779333114624
2251,0.24832302331924438
2301,0.22537699341773987
2351,0.21005892753601074
2401,0.2136894166469574
2451,0.2247042953968048
2501,0.2209511399269104
2551,0.20729348063468933
2601,0.22152313590049744
2651,0.21823391318321228
2701,0.20451220870018005
2751,0.2157687395811081
2801,0.2089519500732422
2851,0.19849950075149536
2901,0.19582152366638184
2951,0.20832578837871552
3001,0.21147480607032776
3051,0.21800267696380615
3101,0.18700681626796722
3151,0.22937631607055664
3201,0.20594191551208496
3251,0.2092265784740448
3301,0.2296505570411682
3351,0.18801547586917877
3401,0.2101367712020874
3451,0.2137913554906845
3501,0.21518896520137787
3551,0.19512198865413666
3601,0.1752350628376007
3651,0.1915125548839569
3701,0.18179896473884583
3751,0.1988821029663086
3801,0.1988871991634369
3851,0.1912841498851776
3901,0.21370665729045868
3951,0.1967294067144394
4001,0.19863906502723694
4051,0.19993919134140015
4101,0.1944027841091156
4151,0.17956870794296265
4201,0.17379623651504517
4251,0.19109812378883362
4301,0.18607795238494873
4351,0.1861554980278015
4401,0.184902161359787
4451,0.18594658374786377
4501,0.19368425011634827
4551,0.20444123446941376
4601,0.17735949158668518
4651,0.19364526867866516
4701,0.18121463060379028
4751,0.19609633088111877
4801,0.2003524750471115
4851,0.19282616674900055
4901,0.17022937536239624
4951,0.1886938214302063
5000,0.20680327713489532
