step,noise_mse
1,1.0894989967346191
51,0.7529882192611694
101,0.5499343872070312
151,0.4575331211090088
201,0.398544579744339
251,0.3532392382621765
301,0.4161883294582367
351,0.3909952640533447
401,0.32749834656715393
451,0.36689409613609314
501,0.32474395632743835
551,0.3690181374549866
601,0.3464878499507904
651,0.33338838815689087
701,0.3475654125213623
751,0.3166993260383606
801,0.32349199056625366
851,0.292348176240921
901,0.3346071243286133
951,0.2938864827156067
1001,0.3117903769016266
1051,0.2817576825618744
1101,0.28100913763046265
1151,0.28638771176338196
1201,0.29059725999832153
1251,0.3199058473110199
1301,0.29194948077201843
1351,0.27838486433029175
1401,0.28740280866622925
1451,0.283149391412735
1501,0.3236091136932373
1551,0.2821081578731537
1601,0.28938010334968567
1651,0.26443660259246826
1701,0.29022541642189026
1751,0.30090805888175964
1801,0.2795872688293457
1851,0.258976548910141
1901,0.3038163185119629
1951,0.29696524143218994
2001,0.28004759550094604
2051,0.28505420684814453
2101,0.2817430794239044
2151,0.29858410358428955
2201,0.24456387758255005
2251,0.23173552751541138
2301,0.2658102512359619
2351,0.2784090042114258
2401,0.2597320079803467
2451,0.2740073502063751
2501,0.2742914855480194
2551,0.22704608738422394
2601,0.289330393075943
2651,0.2705784738063812
2701,0.25596120953559875
2751,0.27029210329055786
2801,0.26870083808898926
2851,0.2551441788673401
2901,0.2554056644439697
2951,0.2791104316711426
3001,0.2892690896987915
3051,0.2666592001914978
3101,0.2749856412410736
3151,0.2602151036262512
3201,0.2689139246940613
3251,0.2541603147983551
3301,0.2615070343017578
3351,0.2793538570404053
3401,0.27614158391952515
3451,0.23899826407432556
3501,0.26137077808380127
3551,0.23023442924022675
3601,0.237799271941185
3651,0.2281457781791687
3701,0.24461781978607178
3751,0.24521571397781372
3801,0.25827687978744507
3851,0.26505887508392334
3901,0.23676875233650208
3951,0.25125718116760254
4001,0.25374743342399597
4051,0.23371157050132751
4101,0.2670588791370392
4151,0.24436193704605103
4201,0.2568504810333252
4251,0.25326451659202576
4301,0.25783413648605347
4351,0.23942698538303375
4401,0.23475337028503418
4451,0.23363354802131653
4501,0.24902455508708954
4551,0.2567591369152069
4601,0.2489556074142456
4651,0.23568911850452423
4701,0.23013174533843994
4751,0.250058114528656
4801,0.24437934160232544
4851,0.23722687363624573
4901,0.24869254231452942
4951,0.25246623158454895
5000,0.23205235600471497
