class,real,vae,ddpm,ldm
T-shirt/top,0.1056,0.269,0.1092,0.1106
Trouser,0.0964,0.0306,0.0416,0.0998
Pullover,0.1058,0.1912,0.1588,0.1794
Dress,0.101,0.1004,0.0836,0.1036
Coat,0.103,0.0346,0.117,0.044
Sandal,0.0972,0.0692,0.0598,0.0366
Shirt,0.0904,0.1064,0.1334,0.1274
Sneaker,0.1028,0.0132,0.0616,0.0888
Bag,0.1048,0.0508,0.147,0.074
Ankle boot,0.093,0.1346,0.088,0.1358
