step,loss,reconstruction,kl,beta
1,2121.560791015625,2121.46142578125,19.86918830871582,0.005
51,1058.428955078125,1020.7841796875,147.62646484375,0.255
101,1021.6762084960938,956.84765625,128.3734130859375,0.505
151,1027.1004638671875,952.1138305664062,99.31999206542969,0.755
201,1052.7579345703125,979.8589477539062,72.89900207519531,1.0
251,1002.22900390625,925.8580932617188,76.37094116210938,1.0
301,990.7639770507812,922.7462158203125,68.01774597167969,1.0
351,960.765869140625,898.7703247070312,61.99557113647461,1.0
401,983.6109619140625,918.1798706054688,65.43109130859375,1.0
451,963.9136352539062,901.6234130859375,62.29021453857422,1.0
501,971.9404296875,910.6763916015625,61.26404571533203,1.0
551,980.1119995117188,918.8204345703125,61.291568756103516,1.0
601,992.0967407226562,928.406494140625,63.69021987915039,1.0
651,966.7030639648438,906.10498046875,60.59806823730469,1.0
701,958.3457641601562,903.0894775390625,55.25627136230469,1.0
751,970.0144653320312,910.0723266601562,59.94213104248047,1.0
801,946.9138793945312,890.9952392578125,55.91864013671875,1.0
851,912.8218994140625,856.77099609375,56.05087661743164,1.0
901,948.1653442382812,892.4447021484375,55.72063446044922,1.0
951,958.9723510742188,902.731689453125,56.240638732910156,1.0
1001,936.77197265625,881.553466796875,55.218505859375,1.0
1051,944.3186645507812,889.9281005859375,54.39057922363281,1.0
1101,958.7561645507812,906.0469970703125,52.70918273925781,1.0
1151,936.5095825195312,880.7880859375,55.72146987915039,1.0
1201,939.303466796875,887.551025390625,51.752471923828125,1.0
1251,925.1686401367188,871.7987060546875,53.36994934082031,1.0
1301,943.7586059570312,891.4052734375,52.35333251953125,1.0
1351,948.33056640625,892.013671875,56.316925048828125,1.0
1401,941.6992797851562,887.864501953125,53.83480453491211,1.0
1451,935.2301635742188,881.3795166015625,53.850669860839844,1.0
1501,928.055908203125,875.698974609375,52.35693359375,1.0
1551,924.4703979492188,870.27880859375,54.191612243652344,1.0
1601,943.258544921875,894.3182373046875,48.940330505371094,1.0
1651,957.5480346679688,905.96337890625,51.584659576416016,1.0
1701,944.9861450195312,894.2591552734375,50.72700500488281,1.0
1751,938.0607299804688,885.5206909179688,52.5400390625,1.0
1801,934.726806640625,883.607666015625,51.119117736816406,1.0
1851,914.7786254882812,864.817626953125,49.96098327636719,1.0
1901,976.5687255859375,925.138671875,51.4300422668457,1.0
1951,933.107177734375,882.27001953125,50.83713150024414,1.0
2001,913.2174072265625,864.6719970703125,48.5454216003418,1.0
2051,948.4521484375,897.0748901367188,51.37724304199219,1.0
2101,962.613037109375,911.25732421875,51.355735778808594,1.0
2151,917.1883544921875,869.653564453125,47.534820556640625,1.0
2201,930.0050048828125,881.32177734375,48.68320083618164,1.0
2251,941.5501098632812,891.9937744140625,49.55633544921875,1.0
2301,902.7861328125,854.6971435546875,48.08899688720703,1.0
2351,950.2513427734375,900.8270874023438,49.424232482910156,1.0
2401,935.8270263671875,885.4676513671875,50.359375,1.0
2451,955.7669067382812,904.7725219726562,50.994407653808594,1.0
2501,926.8115844726562,877.94140625,48.87019348144531,1.0
2551,979.8058471679688,931.45751953125,48.348331451416016,1.0
2601,935.3367309570312,887.08740234375,48.24930191040039,1.0
2651,945.8394775390625,896.3499145507812,49.48955535888672,1.0
2701,944.0341186523438,894.0157470703125,50.01837158203125,1.0
2751,947.2232055664062,897.8641357421875,49.35905838012695,1.0
2801,936.192626953125,887.081298828125,49.11131286621094,1.0
2851,942.8279418945312,893.5684814453125,49.259483337402344,1.0
2901,958.7555541992188,909.916259765625,48.839317321777344,1.0
2951,914.6749877929688,866.0733032226562,48.601707458496094,1.0
3000,944.4005126953125,895.6360473632812,48.76447296142578,1.0
