step,noise_mse
1,1.0721678733825684
51,0.4459765553474426
101,0.1585136502981186
151,0.12410750240087509
201,0.0921311303973198
251,0.0762728601694107
301,0.05803439021110535
351,0.06339506804943085
401,0.05528692528605461
451,0.038786567747592926
501,0.048078753054142
551,0.040322914719581604
601,0.03655068203806877
651,0.03945512697100639
701,0.037722960114479065
751,0.040126558393239975
801,0.03705904260277748
851,0.03285495936870575
901,0.034856732934713364
951,0.03288952633738518
1001,0.029146641492843628
1051,0.03174885734915733
1101,0.037526246160268784
1151,0.031908564269542694
1201,0.029972761869430542
1251,0.030077271163463593
1301,0.028624078258872032
1351,0.027832314372062683
1401,0.027333777397871017
1451,0.026330500841140747
1501,0.032349586486816406
1551,0.03027130290865898
1601,0.029546594247221947
1651,0.030972864478826523
1701,0.029473327100276947
1751,0.030629387125372887
1801,0.028534598648548126
1851,0.03023684024810791
1901,0.026360291987657547
1951,0.026633193716406822
2001,0.022424032911658287
2051,0.02983522228896618
2101,0.026830140501260757
2151,0.02775787189602852
2201,0.029697373509407043
2251,0.025341397151350975
2301,0.027062756940722466
2351,0.026681073009967804
2401,0.026953771710395813
2451,0.02521384321153164
2501,0.022158397361636162
2551,0.027838613837957382
2601,0.026505542919039726
2651,0.027296384796500206
2701,0.02913595736026764
2751,0.02749769389629364
2801,0.02484865114092827
2851,0.02235173061490059
2901,0.024153459817171097
2951,0.02410724386572838
3001,0.024931643158197403
3051,0.024752026423811913
3101,0.02329583466053009
3151,0.024861469864845276
3201,0.019599128514528275
3251,0.021131761372089386
3301,0.023077044636011124
3351,0.026467105373740196
3401,0.022485241293907166
3451,0.025295358151197433
3501,0.022564563900232315
3551,0.021477535367012024
3601,0.023609358817338943
3651,0.025200163945555687
3701,0.022954290732741356
3751,0.024501044303178787
3801,0.023391127586364746
3851,0.02395443245768547
3901,0.023331493139266968
3951,0.021528929471969604
4001,0.02414095774292946
4051,0.023582827299833298
4101,0.022229813039302826
4151,0.02120736800134182
4201,0.025192569941282272
4251,0.02532782033085823
4301,0.02197103202342987
4351,0.026591118425130844
4401,0.02527736686170101
4451,0.025846019387245178
4501,0.02928329072892666
4551,0.023933453485369682
4601,0.022817838937044144
4651,0.029096242040395737
4701,0.024567311629652977
4751,0.024501219391822815
4801,0.02239503338932991
4851,0.02126859873533249
4901,0.0198960080742836
4951,0.022079285234212875
5000,0.024921074509620667
