train_loss,test_loss,test_accuracy,lr
1.1911597905158997,0.6640012603759765,0.76,0.001
0.48226815074284873,0.4392509521484375,0.8432,0.0009829629131445341
0.3677269077618917,0.4070731506347656,0.85,0.0009330127018922195
0.31491857860883077,0.3641670379638672,0.8652,0.0008535533905932737
0.2860308739185333,0.3213785888671875,0.8833,0.00075
0.2574209828456243,0.2762702713012695,0.9003,0.0006294095225512604
0.2426079928080241,0.26515066528320314,0.9041,0.0005
0.22853129726250968,0.26247627716064453,0.9062,0.0003705904774487397
0.21517674531936645,0.2533498199462891,0.9091,0.0002500000000000001
0.20866029332478842,0.24629448852539063,0.913,0.00014644660940672628
0.20086588715712228,0.24776861267089845,0.9148,6.698729810778065e-05
0.1980680238644282,0.24048990631103515,0.916,1.70370868554659e-05
