train_loss,test_loss,test_accuracy,lr
1.1926173543930054,0.675358935546875,0.7521,0.001
0.4920013598759969,0.4534490417480469,0.8359,0.0009829629131445341
0.3771440174102783,0.36292720642089843,0.8697,0.0009330127018922195
0.3182604686419169,0.32490748291015625,0.8844,0.0008535533905932737
0.28720052026112874,0.37556136779785154,0.8725,0.00075
0.26283432998657225,0.32110502624511716,0.8864,0.0006294095225512604
0.2432323149204254,0.27730836486816407,0.9008,0.0005
0.2284281593879064,0.26319742889404296,0.9072,0.0003705904774487397
0.21962108577092487,0.25318117980957033,0.9095,0.0002500000000000001
0.2093873382806778,0.24394090270996094,0.9143,0.00014644660940672628
0.20334316890239715,0.23793712463378905,0.9165,6.698729810778065e-05
0.20054929955005646,0.23698866577148436,0.9176,1.70370868554659e-05
