dataset,seed,classifier_accuracy,classifier_balanced_accuracy,classifier_test_loss,classifier_training_seconds,classifier_peak_gpu_memory_mb,model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
fashion_mnist,0,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,VAE,121.645654995441,1.1274044513702393,0.06041495501995087,0.7950593829154968,0.8644722104072571,0.5712,10,0.8616817138493712,0.08048453841414532,4.219988822937012,12.958029747009277,0.5460428595542908,1.6159669999999702,0.18255299999873387,0.036510599999746776,1955211,1571.32177734375,6294.35888671875,6294.35888671875,910.6132202148438,0.021253876099689883,0
fashion_mnist,0,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,DDPM,28.632146523794482,0.34288114309310913,0.034172192215919495,0.9303228259086609,0.9981240034103394,0.8628,10,0.9776026644714605,0.012778573484991614,7.887774467468262,19.644371032714844,0.6011381149291992,5.548557891666618,53.04087419999996,10.608174839999993,5787075,3102.8251953125,7682.5322265625,7682.5322265625,0.021059483289718628,0.08260401594385935,0
fashion_mnist,0,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,LDM,52.37924024189668,0.7034978866577148,0.04854230210185051,0.9551718831062317,0.9998942017555237,0.9076,10,0.9601413485156014,0.0256569335244958,8.117598533630371,20.397722244262695,0.508796215057373,3.4060944916665905,3.815735800002585,0.763147160000517,7743439,1571.32177734375,5195.8330078125,5195.8330078125,0.26043492555618286,0.0647514796574903,0
fashion_mnist,1,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,VAE,116.18857999174057,1.099611520767212,0.0563979409635067,0.7955028414726257,0.8688275814056396,0.577,10,0.8794661305825108,0.07035497369258241,4.407074928283691,13.213570594787598,0.5541554093360901,1.61224058166675,0.1805566999973962,0.03611133999947924,1955211,1498.6181640625,6302.48388671875,6302.48388671875,940.4844360351562,0.02140543008513009,0
fashion_mnist,1,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,DDPM,31.095759127955194,0.363060861825943,0.036005083471536636,0.9284502863883972,0.9979952573776245,0.8554,10,0.9682117419259225,0.01766101728489184,7.693972110748291,19.585227966308594,0.6101886034011841,5.553577486666715,53.096587699998054,10.61931753999961,5787075,3104.9501953125,7682.5322265625,7682.5322265625,0.023892387747764587,0.08197016985147405,0
fashion_mnist,1,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,LDM,50.79174751479711,0.6811744570732117,0.05192480608820915,0.9511229395866394,0.9998610019683838,0.899,10,0.9625965207745261,0.02324407838573079,8.121376037597656,20.519222259521484,0.5219417810440063,3.4657958533333537,3.8070453999971505,0.7614090799994302,7743439,1498.6181640625,5195.8330078125,5195.8330078125,0.23205235600471497,0.03593699477357167,0
fashion_mnist,2,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,VAE,116.95307072976365,1.094205617904663,0.06906311959028244,0.7962546944618225,0.8640795350074768,0.5758,10,0.8714893172795134,0.07427767745921847,4.364278793334961,13.058086395263672,0.5516033172607422,1.61133872666663,0.18047010000009323,0.03609402000001865,1955211,1498.6181640625,6302.48388671875,6302.48388671875,945.7109985351562,0.015644913830281538,0
fashion_mnist,2,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,DDPM,28.1304920046601,0.31937047839164734,0.031668346375226974,0.926978588104248,0.9982484579086304,0.8496,10,0.9775284373836246,0.01292344217145669,7.838968276977539,19.54210090637207,0.5972816944122314,5.554151484999966,53.0802377,10.61604754,5787075,3104.9501953125,7682.5322265625,7682.5322265625,0.02444772981107235,0.06790353007153668,0
fashion_mnist,2,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,LDM,52.135203944570634,0.703529953956604,0.03654351457953453,0.948188066482544,0.9998182058334351,0.892,10,0.9641008243894487,0.02267481784777714,8.094408988952637,20.331310272216797,0.5085395574569702,3.5451399499999146,3.821999899999355,0.764399979999871,7743439,1498.6181640625,5195.8330078125,5195.8330078125,0.24904385209083557,0.06890238553112787,0
fashion_mnist,3,0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375,VAE,118.07587757417615,1.102085828781128,0.05949132516980171,0.7967168092727661,0.862348198890686,0.5828,10,0.8685639909378953,0.07743274016663484,4.309794902801514,12.971994400024414,0.5322597026824951,1.6114301899999797,0.18198860000120476,0.03639772000024095,1955211,1498.6181640625,6302.48388671875,6302.48388671875,944.4005126953125,0.016742578999326036,0
