,,seed,seed,classifier_accuracy,classifier_accuracy,classifier_balanced_accuracy,classifier_balanced_accuracy,classifier_test_loss,classifier_test_loss,classifier_training_seconds,classifier_training_seconds,classifier_peak_gpu_memory_mb,classifier_peak_gpu_memory_mb,custom_fid,custom_fid,custom_kid_mean,custom_kid_mean,custom_kid_std,custom_kid_std,mean_classifier_confidence,mean_classifier_confidence,median_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,recognizability_rate_at_0.8,class_coverage,class_coverage,class_distribution_entropy,class_distribution_entropy,class_distribution_jsd,class_distribution_jsd,inception_score,inception_score,feature_pairwise_distance,feature_pairwise_distance,sobel_sharpness,sobel_sharpness,training_minutes,training_minutes,sampling_total_seconds,sampling_total_seconds,sampling_ms_per_image,sampling_ms_per_image,trainable_parameters,trainable_parameters,training_peak_gpu_memory_mb,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,final_training_loss,training_tail_cv,training_tail_cv,nonfinite_loss_count,nonfinite_loss_count
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fashion_mnist,DDPM,2.0,1.5811388300841898,0.9423,0.0,0.9422999620437622,0.0,0.32426695184707643,0.0,218.58681649999926,0.0,1028.552734375,0.0,29.643865279892104,1.493775911372391,0.34867907762527467,0.018682712481250516,0.03269381634891033,0.004559276776978654,0.9279455780982971,0.0015773494000200785,0.9981071472167968,0.00019631655665486048,0.85308,0.0069765320897993525,10.0,0.0,0.9732638191418262,0.004452612615294228,0.015202579775042978,0.002321333909676704,7.785000324249268,0.08846243710883699,19.594668579101562,0.04228575771836076,0.6080985188484191,0.008995858344370979,5.552243354333307,0.0021960261044629294,53.05589875999867,0.03935364623505247,10.611179751999734,0.007870729247011063,5787075.0,0.0,3104.5251953125,0.950328890437455,7682.5322265625,0.0,7682.5322265625,0.0,0.024038297310471534,0.0018165668347599284,0.07840795354503223,0.016603421054919677,0.0,0.0
fashion_mnist,LDM,2.0,1.5811388300841898,0.9423,0.0,0.9422999620437622,0.0,0.32426695184707643,0.0,218.58681649999926,0.0,1028.552734375,0.0,52.012651714047976,0.708235535705325,0.6870371103286743,0.015410339901322937,0.04568379372358322,0.0064611740999659,0.9513375163078308,0.002494757787578256,0.9998664259910583,3.141826355482262e-05,0.8992799999999999,0.005664980141183166,10.0,0.0,0.9603406386573872,0.003249204550836608,0.02512851747547108,0.0022471732882092146,8.078940200805665,0.04923221750759067,20.480453491210938,0.11161991779937536,0.5066786706447601,0.01055784256927624,3.4840749989999553,0.05189274228212849,3.813961779998499,0.0058344646265816235,0.7627923559996999,0.0011668929253162742,7743439.0,0.0,1513.15888671875,32.514044301346324,5195.8330078125,0.0,5195.8330078125,0.0,0.2549720823764801,0.01588973932321934,0.05572141017306936,0.01350162540829916,0.0,0.0
fashion_mnist,VAE,2.0,1.5811388300841898,0.9423,0.0,0.9422999620437622,0.0,0.32426695184707643,0.0,218.58681649999926,0.0,1028.552734375,0.0,119.09657917494162,2.8724195382820814,1.1133272647857666,0.02108550746892684,0.056598260253667834,0.01160144258108175,0.793942642211914,0.004387184802064361,0.8614670872688294,0.008106874504289095,0.57264,0.009975369667335634,10.0,0.0,0.8684069058788179,0.007655372920088011,0.0769030886094105,0.004703882705857361,4.2930450439453125,0.1004051899385127,13.005435371398926,0.14303519802602563,0.5462247252464294,0.008479114438503325,1.6122141160000076,0.002233843704333974,0.18124663999915355,0.0009584688904523546,0.03624932799983071,0.00019169377809047085,1955211.0,0.0,1513.15888671875,32.514044301346324,6300.85888671875,3.6336104634370945,6300.85888671875,3.6336104634370945,937.614501953125,15.284387322759946,0.018403636796588383,0.0027182548510843677,0.0,0.0
fashion_product_images,DDPM,2.0,1.5811388300841898,0.8805340829234012,0.0,0.7740155458450317,0.0,0.4851741012099421,0.0,59.13895670000056,0.0,996.20947265625,0.0,16.67426052000223,0.8535604659556958,0.20797407627105713,0.016288989648717618,0.020532188192009925,0.002580512900474995,0.8789906620979309,0.0032027057217711924,0.9817259311676025,0.0023236918353031722,0.75556,0.006623292232719325,15.0,0.0,0.727784517376285,0.010193615330787364,0.00620081783245102,0.0012490531871979112,5.2829999923706055,0.09126882208602724,18.356444549560546,0.10294316077512368,0.8266587376594543,0.002105823463465572,5.6225943659999995,0.005617195858417882,53.1201928999988,0.056016646999993494,10.624038579999759,0.011203329399997497,5787075.0,0.0,3117.51220703125,0.0,7698.46923828125,0.0,7698.46923828125,0.0,0.023650370165705682,0.0024824383515146104,0.09860662013462151,0.03169402155082437,0.0,0.0
fashion_product_images,LDM,2.0,1.5811388300841898,0.8805340829234012,0.0,0.7740155458450317,0.0,0.4851741012099421,0.0,59.13895670000056,0.0,996.20947265625,0.0,33.65256323939068,2.2123851354818203,0.4286562204360962,0.04468256179940206,0.028437750414013863,0.005655335477923622,0.8962722063064575,0.006835174395067927,0.9894513249397278,0.0024335968092658597,0.79012,0.015411424333915374,15.0,0.0,0.7336703482951648,0.008151206442615438,0.026761949762377828,0.0029197593484132645,5.6368687629699705,0.06985640623553552,18.983522415161133,0.18092690746405043,0.7821146130561829,0.0017694763139156494,3.7824293226666974,0.010571848604895427,3.8245758599994586,0.01610784121867736,0.7649151719998917,0.003221568243735478,7743439.0,0.0,1514.99267578125,0.0,5211.14501953125,0.0,5211.14501953125,0.0,0.18631769120693206,0.018253894487265273,0.059080785171802194,0.015774167739967464,0.0,0.0
fashion_product_images,VAE,2.0,1.5811388300841898,0.8805340829234012,0.0,0.7740155458450317,0.0,0.4851741012099421,0.0,59.13895670000056,0.0,996.20947265625,0.0,83.88045969990189,3.7983194110787486,0.9402865290641784,0.04895685856118008,0.038991523534059526,0.002586945736469142,0.7898579955101013,0.006422567384524686,0.8591766476631164,0.009740193978442781,0.572,0.011871815362445606,15.0,0.0,0.6436834824092901,0.019328119115263043,0.060828304887317074,0.00674760167113462,3.4052275657653808,0.10402551160927892,13.811839866638184,0.13052207879680397,0.7671126127243042,0.002886814237267076,1.6644689950000369,0.0017981974836889063,0.18187116000044626,0.001461444717042841,0.036374232000089254,0.00029228894340856717,1955211.0,0.0,1514.99267578125,0.0,6317.7333984375,0.0,6317.7333984375,0.0,661.7542236328125,4.224205319494539,0.015846469147318472,0.003435003781729092,0.0,0.0
