model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
VAE,83.44393678947594,0.9286850094795227,0.03825855255126953,0.7933577299118042,0.8625035285949707,0.5768,15,0.6354171613756138,0.059449660692177456,3.3715832233428955,13.81148910522461,0.7707851529121399,1.6638182483333366,0.18063119999715127,0.03612623999943025,1955211,1514.99267578125,6317.7333984375,6317.7333984375,661.9644165039062,0.015909405795495248,0
DDPM,15.456572264823109,0.19167819619178772,0.01770302653312683,0.8807668685913086,0.9826449155807495,0.7596,15,0.7276353809766523,0.004192732567905223,5.29069709777832,18.347150802612305,0.8242596387863159,5.6175554699999335,53.11470150000241,10.622940300000481,5787075,3117.51220703125,7698.46923828125,7698.46923828125,0.023000400513410568,0.1411636273224746,0
LDM,33.3660637166992,0.4185273051261902,0.03368910402059555,0.8974878191947937,0.9905049204826355,0.7932,15,0.7411467930310931,0.030233743976158734,5.750369548797607,19.2442626953125,0.7799257636070251,3.798133778333431,3.846168600000965,0.769233720000193,7743439,1514.99267578125,5211.14501953125,5211.14501953125,0.18263942003250122,0.03442800489594254,0
