class,real,vae,ddpm,ldm
Tshirts,0.39915671117357693,0.4146,0.393,0.3558
Shirts,0.1679550245959241,0.153,0.1956,0.1394
Kurtas,0.09838369641602249,0.0886,0.081,0.147
Tops,0.08362614195361912,0.2044,0.1086,0.121
Briefs,0.04567814476458187,0.008,0.0484,0.0292
Jeans,0.03724525650035137,0.0016,0.023,0.035
Trousers,0.027406886858749122,0.0034,0.0314,0.0266
Shorts,0.028109627547434995,0.0068,0.0218,0.0108
Bra,0.023893183415319746,0.0038,0.0176,0.0064
Dresses,0.018973998594518624,0.0114,0.0176,0.0072
Sarees,0.023893183415319746,0.0116,0.0136,0.0204
Track Pants,0.013352073085031623,0.005,0.0134,0.0136
Sweaters,0.007730147575544624,0.0654,0.0114,0.0758
Sweatshirts,0.015460295151089248,0.0162,0.0124,0.0044
Jackets,0.009135628952916374,0.0062,0.0112,0.0074
