total,reconstruction,kl,test_total,lr
351.5400479980469,339.31011870117186,12.229927123006185,263.40611748046877,0.002
255.36840909016928,240.40470061035157,14.963709427388508,252.91751767578126,0.001992114701314478
248.95894779459636,233.83660918782553,15.122339456685385,248.78464050292968,0.001968583161128631
245.81687592773437,230.47575152994793,15.341124239095052,246.5646740234375,0.0019297764858882515
243.7079205485026,228.17506563313802,15.532855342102051,244.54986379394532,0.0018763066800438636
242.39311276041667,226.70730712076823,15.685806172688801,243.66822075195313,0.0018090169943749475
241.30015190429688,225.54374351399738,15.756408055623373,242.53808627929686,0.0017289686274214115
240.58019150390626,224.71438647460937,15.86580470377604,243.0517353027344,0.0016374239897486895
240.09165166829428,224.18799608561199,15.903655462646485,241.46220346679686,0.0015358267949789964
239.42518021647135,223.44085182291667,15.984329279581706,241.06368413085937,0.0014257792915650725
239.00458173828125,222.98867446289063,16.015907304890952,241.03103046875,0.0013090169943749473
238.7083905436198,222.67907731119791,16.029313311258953,240.3752,0.0011873813145857248
238.28198981933593,222.21048619791668,16.071503846232098,240.20952890625,0.0010627905195293135
237.93437177734376,221.83946646321616,16.094905711364746,239.76947041015626,0.0009372094804706867
237.57528821614582,221.4920085611979,16.083279440816245,239.59351010742188,0.0008126186854142754
237.37243969726563,221.18635568847657,16.186084143066406,239.355515625,0.0006909830056250529
237.1858705078125,221.03348544108073,16.152384650675454,238.93178559570313,0.0005742207084349273
236.94845846354167,220.75810653483072,16.19035187988281,238.82327653808593,0.0004641732050210031
236.78688712565105,220.57483485514322,16.212052705891928,238.6535646484375,0.00036257601025131025
236.6338747314453,220.42889012858072,16.204984658813476,238.55070886230467,0.00027103137257858867
236.47230311686198,220.23855552571615,16.233746914672853,238.51995668945312,0.00019098300562505268
236.36404625651042,220.12101939290363,16.243026414998372,238.30893674316405,0.00012369331995613645
236.23819899902344,220.00623757324217,16.231960530598958,238.29319436035155,7.022351411174866e-05
236.18388533528645,219.94807212727864,16.235812716674804,238.21708908691406,3.141683887136904e-05
236.14888090820313,219.90730184733073,16.241578787231447,238.16954899902345,7.885298685522236e-06
