noise_mse,lr,epoch_seconds
0.24063630042404965,0.0002,20.201359100001355
0.1259782223095154,0.00019959742939952392,7.784465900000214
0.10465883527850282,0.00019839295885986296,7.780016200000318
0.09565530987135296,0.00019639628606958533,7.780895500000042
0.09003384462718306,0.00019362348706397373,7.788105400000859
0.08628183808820002,0.00019009688679024194,7.7911683000002085
0.08436347878184812,0.00018584487936018664,7.793219400000453
0.08167865962303918,0.0001809016994374948,7.793727800000852
0.08015474522935934,0.00017530714660036114,7.785783600000286
0.07885250513409746,0.0001691062648986865,7.784833499999877
0.07782333254300315,0.0001623489801858734,7.792174599999271
0.07665755599737167,0.00015508969814521028,7.873777299999347
0.07534652280396428,0.00014738686624729989,7.7940769999986514
0.075256430254928,0.00013930250316539238,7.8013679000014235
0.07427519868160117,0.00013090169943749476,7.800284200000533
0.07459940941169343,0.00012225209339563145,7.78298409999843
0.07368966307619522,0.00011342332658176557,7.790118099999745
0.07343628899804477,0.00010448648303505152,7.798674399999072
0.07273664967767124,9.551351696494853e-05,7.80173939999986
0.07291609202993327,8.657667341823447e-05,7.809310499998901
0.07144327269032083,7.774790660436858e-05,7.795690000000832
0.07197385923615818,6.909830056250527e-05,7.786947299999156
0.0713809575757076,6.0697496834607674e-05,7.7931337999998505
0.07163405225708566,5.2613133752700145e-05,7.807625299999927
0.07089398929785037,4.491030185478976e-05,7.798190699999395
0.07120614627311969,3.765101981412666e-05,7.798969900000884
0.07025188715036573,3.089373510131355e-05,7.819628000001103
0.07089235556536708,2.4692853399638917e-05,7.821586000000025
0.06982393549947903,1.9098300562505266e-05,7.917470200000025
0.06992340473265483,1.415512063981339e-05,7.8193542000008165
0.06941823706287763,9.903113209758096e-06,7.80029039999863
0.06964874460265555,6.376512936026279e-06,7.805372900000293
0.07007687667320514,3.603713930414676e-06,7.794885100000101
0.06954214079626675,1.6070411401370332e-06,7.793204600000536
0.06958913180077898,4.025706004760932e-07,7.808138500000496
