train_loss,test_loss,test_accuracy,lr
1.1890843149503072,0.74641787109375,0.7323,0.001
0.5268232726573944,0.48722427978515626,0.8176,0.0009829629131445341
0.3884334518114726,0.3864919738769531,0.8563,0.0009330127018922195
0.3233075816790263,0.35459287872314454,0.8712,0.0008535533905932737
0.2946061039924622,0.31003181304931643,0.8871,0.00075
0.2638709304332733,0.2815350875854492,0.9001,0.0006294095225512604
0.24433555855751038,0.2743291381835937,0.9002,0.0005
0.2324987556298574,0.26318080139160155,0.9054,0.0003705904774487397
0.22201516075929006,0.2641223220825195,0.9058,0.0002500000000000001
0.2117628104686737,0.2540634475708008,0.9092,0.00014644660940672628
0.206101064769427,0.2505736038208008,0.9129,6.698729810778065e-05
0.20196893434524535,0.24510473175048827,0.9134,1.70370868554659e-05
