train_loss,test_loss,test_accuracy,lr
1.217534097512563,0.69619853515625,0.739,0.001
0.5273087648391723,0.4713469665527344,0.8256,0.0009829629131445341
0.3918570670922597,0.390215625,0.857,0.0009330127018922195
0.33641068326632184,0.33513523559570313,0.8781,0.0008535533905932737
0.3034146475950877,0.3451053619384766,0.8774,0.00075
0.2771914634545644,0.2965514724731445,0.8939,0.0006294095225512604
0.2552883183081945,0.2743299499511719,0.9001,0.0005
0.24037513987223308,0.2668581069946289,0.902,0.0003705904774487397
0.22695281343460083,0.2630452407836914,0.9031,0.0002500000000000001
0.21665751157601673,0.2514863494873047,0.9083,0.00014644660940672628
0.21024064561525982,0.2504381774902344,0.91,6.698729810778065e-05
0.20837891494433086,0.2492549285888672,0.9107,1.70370868554659e-05
