step,loss,reconstruction,kl,beta
1,2212.468505859375,2212.4169921875,10.308032989501953,0.005
51,1224.821533203125,1160.936279296875,250.53057861328125,0.255
101,1007.3977661132812,956.7642211914062,100.264404296875,0.505
151,1020.2759399414062,940.9393310546875,105.08162689208984,0.755
201,1044.7877197265625,953.2092895507812,91.57848358154297,1.0
251,1020.4916381835938,931.865478515625,88.62614440917969,1.0
301,965.5301513671875,897.7525634765625,67.7775650024414,1.0
351,961.5950927734375,894.10107421875,67.49401092529297,1.0
401,987.009521484375,926.03955078125,60.969974517822266,1.0
451,985.2396850585938,918.013427734375,67.22627258300781,1.0
501,987.861328125,927.611083984375,60.250274658203125,1.0
551,983.8485717773438,923.3408203125,60.507747650146484,1.0
601,945.7671508789062,885.3638916015625,60.40323257446289,1.0
651,952.381591796875,891.9803466796875,60.40122985839844,1.0
701,947.412841796875,888.0130615234375,59.3997802734375,1.0
751,925.2136840820312,869.155517578125,56.058162689208984,1.0
801,953.3585815429688,898.8194580078125,54.53913497924805,1.0
851,941.4304809570312,886.429443359375,55.00105285644531,1.0
901,963.9197998046875,905.5430908203125,58.376731872558594,1.0
951,957.4581909179688,902.4041748046875,55.05403137207031,1.0
1001,956.685546875,898.4524536132812,58.23311996459961,1.0
1051,926.7098388671875,870.6006469726562,56.109195709228516,1.0
1101,970.2838745117188,916.5746459960938,53.70922088623047,1.0
1151,902.3068237304688,848.85302734375,53.45380401611328,1.0
1201,946.58203125,893.3136596679688,53.268348693847656,1.0
1251,929.6651611328125,875.4525756835938,54.212554931640625,1.0
1301,957.081787109375,902.3863525390625,54.69545364379883,1.0
1351,968.7099609375,915.757080078125,52.95289611816406,1.0
1401,942.4052124023438,887.4947509765625,54.91046142578125,1.0
1451,962.7918701171875,909.271728515625,53.520164489746094,1.0
1501,899.8244018554688,844.82666015625,54.99775314331055,1.0
1551,950.756591796875,898.814453125,51.942108154296875,1.0
1601,938.0488891601562,886.4571533203125,51.59176254272461,1.0
1651,939.3202514648438,888.3273315429688,50.992897033691406,1.0
1701,903.01220703125,852.443115234375,50.569122314453125,1.0
1751,948.9718017578125,895.1044311523438,53.86738586425781,1.0
1801,960.4705200195312,909.5081787109375,50.96234130859375,1.0
1851,950.0745849609375,898.7384033203125,51.336151123046875,1.0
1901,915.9896240234375,863.6905517578125,52.299095153808594,1.0
1951,909.337890625,857.2557373046875,52.082183837890625,1.0
2001,938.98095703125,890.390869140625,48.59010314941406,1.0
2051,942.4889526367188,895.8427124023438,46.64623260498047,1.0
2101,930.0182495117188,878.8221435546875,51.19609832763672,1.0
2151,949.2808227539062,898.3150634765625,50.96577835083008,1.0
2201,919.014892578125,869.0845947265625,49.93031692504883,1.0
2251,968.7084350585938,917.6189575195312,51.0894775390625,1.0
2301,913.8267211914062,864.016357421875,49.81037139892578,1.0
2351,909.3222045898438,859.7415771484375,49.58063888549805,1.0
2401,927.2741088867188,877.98876953125,49.285362243652344,1.0
2451,944.045654296875,895.2780151367188,48.767608642578125,1.0
2501,915.5299682617188,866.6729736328125,48.85697937011719,1.0
2551,938.689453125,887.7891845703125,50.90026092529297,1.0
2601,960.7355346679688,910.7991943359375,49.93634033203125,1.0
2651,919.49169921875,871.4876708984375,48.004032135009766,1.0
2701,940.3172607421875,892.8517456054688,47.465511322021484,1.0
2751,947.1259155273438,897.6015625,49.52433776855469,1.0
2801,934.8924560546875,884.8668823242188,50.02556610107422,1.0
2851,946.2765502929688,896.0076904296875,50.26887512207031,1.0
2901,925.328369140625,878.6244506835938,46.70392990112305,1.0
2951,902.06005859375,854.3956298828125,47.6644287109375,1.0
3000,946.8633422851562,897.8497924804688,49.01353073120117,1.0
