sampler,raw_mean,raw_std,raw_abs_max,model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
fixed_large,0.06254533678293228,1.402227759361267,22.083301544189453,ddpm_fixed_large,68.86465589461923,0.8425288200378418,0.09433842450380325,0.8864646553993225,0.9860886931419373,0.757,10,0.9480117031804249,0.029410618158274386,6.691774845123291,17.802038192749023,0.5776675343513489,5.6616467449999615,14.406106700000237,14.406106700000237,5787075,3110.08837890625,3110.08837890625,3110.08837890625,0.026666535064578056,0.09748349240464858,0
posterior,0.053358785808086395,1.3348468542099,20.55236053466797,ddpm_posterior,65.20851444200929,0.8251959681510925,0.09225703030824661,0.892076849937439,0.9840883016586304,0.781,10,0.9491834411951618,0.029624400230673337,6.714139461517334,17.61687469482422,0.5745744109153748,5.6616467449999615,10.589169600003515,10.589169600003515,5787075,3110.08837890625,3110.08837890625,3110.08837890625,0.026666535064578056,0.09748349240464858,0
posterior_clip,-0.3759666383266449,0.6543354392051697,1.0,ddpm_posterior_clip,34.036475223449415,0.3907400071620941,0.03246128559112549,0.9207896590232849,0.9980605244636536,0.837,10,0.9704076899723435,0.0183045903083834,7.644023895263672,19.690523147583008,0.610982358455658,5.6616467449999615,10.56391579999763,10.56391579999763,5787075,3110.08837890625,3110.08837890625,3110.08837890625,0.026666535064578056,0.09748349240464858,0
ddim_clip,-0.20185285806655884,0.5782899856567383,1.0,ddpm_ddim_clip,146.71347966526582,1.8847213983535767,0.057734414935112,0.865128755569458,0.9660574197769165,0.721,10,0.68206897784672,0.17206901656277318,3.5171992778778076,13.966678619384766,0.7929986715316772,5.6616467449999615,10.565424299995357,10.565424299995357,5787075,3110.08837890625,3110.08837890625,3110.08837890625,0.026666535064578056,0.09748349240464858,0
