step,loss,reconstruction,kl,beta
1,2224.1640625,2224.0947265625,13.853233337402344,0.005
51,1047.746337890625,1017.4495849609375,118.8109130859375,0.255
101,982.2190551757812,926.90283203125,109.53703308105469,0.505
151,1038.5400390625,954.7506103515625,110.97944641113281,0.755
201,1077.706787109375,994.239013671875,83.46772766113281,1.0
251,989.7178344726562,916.819091796875,72.89874267578125,1.0
301,1096.1585693359375,1033.5816650390625,62.57686996459961,1.0
351,965.8761596679688,897.946044921875,67.93010711669922,1.0
401,981.8245849609375,920.93896484375,60.88560485839844,1.0
451,999.277587890625,935.1973876953125,64.08018493652344,1.0
501,948.0317993164062,887.15283203125,60.87899398803711,1.0
551,967.915283203125,905.4324340820312,62.48282241821289,1.0
601,961.7029418945312,902.6218872070312,59.08104705810547,1.0
651,990.2587890625,932.1510620117188,58.107704162597656,1.0
701,970.0836791992188,911.86279296875,58.22086715698242,1.0
751,968.2930908203125,910.921875,57.371238708496094,1.0
801,963.2191162109375,903.5502319335938,59.668914794921875,1.0
851,952.7365112304688,899.6025390625,53.13395690917969,1.0
901,928.9874877929688,874.3770751953125,54.61039733886719,1.0
951,927.7426147460938,870.634765625,57.10783004760742,1.0
1001,975.1392211914062,919.3999633789062,55.739280700683594,1.0
1051,920.5143432617188,867.555908203125,52.958438873291016,1.0
1101,947.1725463867188,889.1748046875,57.99774932861328,1.0
1151,975.1373291015625,920.779541015625,54.357784271240234,1.0
1201,934.7989501953125,882.4251098632812,52.373844146728516,1.0
1251,963.3194580078125,911.2213134765625,52.09816360473633,1.0
1301,943.0199584960938,890.4049072265625,52.61504364013672,1.0
1351,933.065185546875,877.525390625,55.539798736572266,1.0
1401,980.577880859375,927.21240234375,53.365447998046875,1.0
1451,922.3919677734375,870.0576782226562,52.33428192138672,1.0
1501,939.6564331054688,884.9207763671875,54.73566436767578,1.0
1551,943.1902465820312,890.8184204101562,52.37181091308594,1.0
1601,960.175537109375,909.5604248046875,50.61513137817383,1.0
1651,953.7899780273438,903.9551391601562,49.83483123779297,1.0
1701,911.9453735351562,863.3394165039062,48.60593032836914,1.0
1751,929.8743896484375,877.793212890625,52.08116912841797,1.0
1801,928.1710815429688,876.57373046875,51.59733963012695,1.0
1851,947.3860473632812,896.3965454101562,50.98947525024414,1.0
1901,904.1334838867188,853.027587890625,51.10591506958008,1.0
1951,919.6968383789062,869.647705078125,50.04912567138672,1.0
2001,946.7449340820312,896.5391845703125,50.20573425292969,1.0
2051,912.3302001953125,863.3168334960938,49.01335906982422,1.0
2101,937.18310546875,887.6934814453125,49.489646911621094,1.0
2151,974.9746704101562,927.4141845703125,47.560508728027344,1.0
2201,946.3746948242188,897.8717041015625,48.50297927856445,1.0
2251,917.2086181640625,867.6861572265625,49.52245330810547,1.0
2301,913.8482666015625,863.7215576171875,50.12672424316406,1.0
2351,910.4745483398438,861.7443237304688,48.730201721191406,1.0
2401,928.0202026367188,878.908447265625,49.11173629760742,1.0
2451,929.989990234375,881.2100830078125,48.77992630004883,1.0
2501,917.1654663085938,868.7152709960938,48.4501838684082,1.0
2551,961.4530029296875,913.10595703125,48.34706497192383,1.0
2601,924.6746826171875,876.895751953125,47.778961181640625,1.0
2651,921.3240356445312,873.421630859375,47.90239334106445,1.0
2701,945.4256591796875,896.452880859375,48.97277069091797,1.0
2751,911.0919189453125,864.4832153320312,46.60869598388672,1.0
2801,937.9176025390625,890.2369384765625,47.680694580078125,1.0
2851,955.0052490234375,907.4884033203125,47.51683807373047,1.0
2901,938.0889892578125,889.8665771484375,48.22243118286133,1.0
2951,942.7745361328125,896.2080078125,46.56650161743164,1.0
3000,945.7109985351562,898.068115234375,47.64286804199219,1.0
