class,real,vae,ddpm,ldm
Tshirts,0.39915671117357693,0.4104,0.389,0.3212
Shirts,0.1679550245959241,0.1556,0.2014,0.1942
Kurtas,0.09838369641602249,0.1034,0.0832,0.1562
Tops,0.08362614195361912,0.1826,0.1076,0.1198
Briefs,0.04567814476458187,0.0086,0.056,0.0246
Jeans,0.03724525650035137,0.0014,0.0222,0.0284
Trousers,0.027406886858749122,0.005,0.027,0.0292
Shorts,0.028109627547434995,0.0048,0.0226,0.0142
Bra,0.023893183415319746,0.0078,0.0142,0.0094
Dresses,0.018973998594518624,0.0188,0.0166,0.009
Sarees,0.023893183415319746,0.014,0.0108,0.022
Track Pants,0.013352073085031623,0.0038,0.011,0.0128
Sweaters,0.007730147575544624,0.06,0.0132,0.0506
Sweatshirts,0.015460295151089248,0.0158,0.0124,0.0042
Jackets,0.009135628952916374,0.008,0.0128,0.0042
