family,candidate,lr,beta,ema,model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
VAE,vae_lr3e-4_beta1,0.0003,1.0,,vae_lr3e-4_beta1,152.61339998488432,1.427599310874939,0.08518508076667786,0.7851453423500061,0.8521798849105835,0.557,9,0.7613005778595926,0.13340747759333624,3.3961169719696045,12.160707473754883,0.557314932346344,0.8805335400000331,2.8075188000002527,2.8075188000002527,1955211,1596.82861328125,929.3462524414062,0.020647972298355306,0
VAE,vae_lr1e-3_beta1,0.001,1.0,,vae_lr1e-3_beta1,137.19559088631917,1.2687036991119385,0.06966670602560043,0.7911604046821594,0.8506039381027222,0.57,10,0.8241908098020873,0.10244297700677671,3.905181884765625,12.546019554138184,0.5687705874443054,0.8034772199999376,0.03569460000289837,0.03569460000289837,1955211,1516.125,956.484130859375,0.021973198324834933,0
VAE,vae_lr1e-3_beta0.5,0.001,0.5,,vae_lr1e-3_beta0.5,151.00195304079074,1.4144237041473389,0.0565546490252018,0.7859292030334473,0.8439327478408813,0.564,10,0.7907187767488495,0.12240295480345285,3.5909547805786133,12.278953552246094,0.6241217851638794,0.8038739716665684,0.03592670000216458,0.03592670000216458,1955211,1516.125,925.5006713867188,0.023229206527770843,0
DDPM,ddpm_lr1e-04_ema0.995,0.0001,,0.995,ddpm_lr1e-04_ema0.995,752.6569688512087,48.64286804199219,0.9665977358818054,0.924567699432373,0.9892610311508179,0.849,3,0.2108166866869347,0.4389559076698636,1.432033896446228,8.414205551147461,1.4882640838623047,2.257557945000008,16.715664299998025,16.715664299998025,5787075,3126.67041015625,0.031644389033317566,0.08119651956666268,0
DDPM,ddpm_lr2e-04_ema0.995,0.0002,,0.995,ddpm_lr2e-04_ema0.995,557.4586659724879,23.186969757080078,0.47974029183387756,0.9416148662567139,0.9963851571083069,0.882,4,0.20328421894368898,0.43340345206384934,1.43601393699646,10.836477279663086,1.1783881187438965,2.2235039616666956,12.398695099996985,12.398695099996985,5787075,3151.8798828125,0.026251403614878654,0.08148894269620843,0
DDPM,ddpm_lr1e-04_ema0.999,0.0001,,0.999,ddpm_lr1e-04_ema0.999,813.2462309647397,66.27595520019531,0.9555511474609375,0.9416128993034363,0.9955172538757324,0.894,3,0.12446584607680825,0.46498304595647166,1.2310209274291992,7.941564559936523,1.4213838577270508,2.2228991883332734,12.398557699998491,12.398557699998491,5787075,3154.8798828125,0.031644389033317566,0.08119651956666268,0
DDPM,ddpm_lr2e-04_ema0.999,0.0002,,0.999,ddpm_lr2e-04_ema0.999,757.9463158731099,52.119056701660156,0.523164689540863,0.8968928456306458,0.9714612364768982,0.794,3,0.240626544839481,0.4333116002059004,1.423156499862671,8.04231071472168,1.3350307941436768,2.220618896666565,12.390264200003003,12.390264200003003,5787075,3155.7548828125,0.026251403614878654,0.08148894269620843,0
LDM,ldm_lr1e-04_ema0.995,0.0001,,0.995,ldm_lr1e-04_ema0.995,288.44118070377965,4.501694679260254,0.13632650673389435,0.8494457006454468,0.9374181032180786,0.695,7,0.4045021261694147,0.3160412536978643,1.8634003400802612,9.684508323669434,1.2156447172164917,0.880560275000001,10.373644100000092,10.373644100000092,1607204,432.4833984375,0.3603070378303528,0.05552479645702448,0
LDM,ldm_lr2e-04_ema0.995,0.0002,,0.995,ldm_lr2e-04_ema0.995,300.9426344314098,5.166842937469482,0.1307215690612793,0.8653044700622559,0.9553363919258118,0.724,7,0.3233504802381093,0.3528534219445021,1.7053608894348145,9.707327842712402,1.2419540882110596,0.7880553733333121,1.4024262000020826,1.4024262000020826,1607204,415.79931640625,0.3291066884994507,0.05954237090930562,0
LDM,ldm_lr1e-04_ema0.999,0.0001,,0.999,ldm_lr1e-04_ema0.999,276.0515193541511,4.132472991943359,0.16080698370933533,0.8196535706520081,0.8883543014526367,0.624,9,0.4542299463227548,0.2986947527133188,2.0011489391326904,9.769003868103027,1.1178861856460571,0.7861222700000022,1.406161200000497,1.406161200000497,1607204,415.79931640625,0.3603070378303528,0.05552479645702448,0
LDM,ldm_lr2e-04_ema0.999,0.0002,,0.999,ldm_lr2e-04_ema0.999,270.63474605716726,4.052281856536865,0.1610952615737915,0.8264403939247131,0.902026891708374,0.64,8,0.46521882185807284,0.2921378404409579,2.0490217208862305,10.051504135131836,1.1811274290084839,0.7773723716665699,1.3909034000025713,1.3909034000025713,1607204,415.79931640625,0.3291066884994507,0.05954237090930562,0
