dataset,name,batch,epochs,lr,wd,weighted,val_accuracy,val_balanced_accuracy,val_minimum_recall,selection_score,training_seconds
fashion_mnist,large_batch,1024,20,0.001,1e-05,False,0.933,0.9329999685287476,0.8100000023841858,0.9329999842643738,
fashion_mnist,balanced_adamw,256,40,0.0003,0.0001,False,0.9456666666666667,0.9456666707992554,0.8199999928474426,0.945666668732961,
fashion_mnist,higher_lr,256,40,0.001,0.0001,False,0.941,0.9410001039505005,0.824999988079071,0.9410000519752502,
fashion_mnist,class_weighted,256,50,0.0003,0.0001,True,0.9408333333333333,0.9408332705497742,0.8083333373069763,0.9408333019415538,295.6766850999993
fashion_product_images,large_batch,1024,20,0.001,1e-05,False,0.7890137328339576,0.6146088242530823,0.0,0.70181127854352,57.08957609999925
fashion_product_images,balanced_adamw,256,40,0.0003,0.0001,False,0.8863920099875156,0.7979358434677124,0.1666666716337204,0.842163926727614,57.58004670000082
fashion_product_images,higher_lr,256,40,0.001,0.0001,False,0.8876404494382022,0.8084604740142822,0.25,0.8480504617262422,56.7152453000017
fashion_product_images,class_weighted,256,50,0.0003,0.0001,True,0.8826466916354557,0.8092745542526245,0.4166666567325592,0.8459606229440402,64.943686599996
