generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
8,7641,0.49577838,True
41,620,0.5283844,False
48,8886,0.5383544,False
91,685,0.58886635,False
39,9532,0.5950528,False
73,1767,0.5968387,False
103,6761,0.61546683,False
27,2948,0.624426,False
69,1832,0.62661535,False
77,1862,0.6660643,False
36,2422,0.7276223,False
96,4321,0.751981,False
46,5645,0.75244254,False
112,1520,0.8024896,False
61,5708,0.80841446,False
90,8612,0.82125133,False
106,6130,0.85195214,False
40,6900,0.8811646,False
18,8003,0.88246673,False
94,1496,0.91074705,False
104,2037,0.9250228,False
88,2578,0.93627036,False
52,5868,0.9393333,False
29,5847,0.94564533,False
76,5072,0.9475857,False
85,9320,0.9705125,False
49,8812,0.97960466,False
2,6251,0.99691296,False
71,9066,1.0720966,False
16,759,1.0844189,False
87,872,1.0868434,False
101,4870,1.1106431,False
98,4762,1.1272154,False
50,3008,1.1338491,False
120,9713,1.1470116,False
100,1494,1.1665046,False
7,224,1.1742879,False
93,6048,1.1798038,False
20,3469,1.1841158,False
38,4343,1.219282,False
0,6903,1.2455181,False
113,9324,1.2498046,False
25,8753,1.2702101,False
79,5464,1.2708317,False
114,9683,1.28431,False
33,2656,1.3364742,False
67,8865,1.3379234,False
65,9015,1.3399063,False
56,4256,1.3418012,False
102,8881,1.348044,False
13,809,1.3680354,False
6,4176,1.3938582,False
97,6577,1.4095773,False
64,3412,1.4102699,False
3,9311,1.4110973,False
121,1830,1.4165152,False
72,7622,1.4168061,False
75,514,1.4319657,False
55,5323,1.4353276,False
5,8663,1.4509025,False
11,9248,1.4661413,False
125,7045,1.4719204,False
1,1780,1.4811746,False
17,4400,1.4922208,False
53,2410,1.5048268,False
111,4971,1.5103909,False
107,5131,1.5402443,False
30,5275,1.5452416,False
80,6715,1.5812498,False
126,1620,1.5935082,False
70,2848,1.6065127,False
35,3800,1.6186199,False
84,2210,1.6258683,False
127,637,1.6691941,False
34,136,1.6986215,False
4,1211,1.7014308,False
47,9926,1.7036669,False
28,9198,1.71445,False
68,4410,1.7158878,False
15,8088,1.7172723,False
62,6201,1.7271016,False
122,7815,1.7408316,False
60,3089,1.74095,False
37,563,1.7676138,False
81,5333,1.7805282,False
12,2023,1.8205514,False
99,3170,1.8511524,False
82,6792,1.9015726,False
92,9837,1.9355025,False
32,5176,1.9482498,False
89,1060,1.9842395,False
95,1041,1.9883043,False
116,9919,1.9946159,False
21,9556,1.9988095,False
51,8694,2.0254028,False
117,6424,2.0342479,False
74,4012,2.0391898,False
123,1313,2.055199,False
119,1558,2.0567677,False
118,9412,2.0642886,False
14,9317,2.073609,False
78,8064,2.074557,False
43,4716,2.0798948,False
31,8787,2.1002638,False
58,2125,2.1013741,False
42,2972,2.118025,False
86,9924,2.1233945,False
26,1905,2.1314008,False
59,1041,2.2239294,False
19,4359,2.2825296,False
24,8928,2.2889588,False
66,9333,2.3262208,False
57,7956,2.3693879,False
108,955,2.4212897,False
109,4030,2.4917214,False
23,6502,2.5210838,False
45,5865,2.5935838,False
105,6237,2.6830003,False
44,9917,2.685597,False
63,6952,2.722659,False
9,1410,2.746977,False
124,1975,2.821731,False
22,1041,2.8591375,False
54,311,2.8715508,False
115,8712,2.9679365,False
10,1829,3.0067272,False
110,8712,3.169275,False
83,1134,4.279805,False
