class_index,class_name,real_test_distribution,vae_distribution,ddpm_distribution
0,T-shirt/top,0.1012,0.1906,0.069
1,Trouser,0.0982,0.0864,0.1148
2,Pullover,0.0962,0.1552,0.0874
3,Dress,0.1016,0.1014,0.1362
4,Coat,0.101,0.047,0.0612
5,Sandal,0.0996,0.0136,0.197
6,Shirt,0.1016,0.0376,0.0796
7,Sneaker,0.1028,0.1016,0.1406
8,Bag,0.103,0.1486,0.0618
9,Ankle boot,0.0948,0.118,0.0524
