class_index,class_name,real_test_distribution,vae_distribution,ddpm_distribution
0,T-shirt/top,0.1044,0.1594,0.0778
1,Trouser,0.0958,0.074,0.1254
2,Pullover,0.1018,0.2082,0.0982
3,Dress,0.102,0.0716,0.1462
4,Coat,0.0974,0.0386,0.104
5,Sandal,0.0958,0.0174,0.1126
6,Shirt,0.0962,0.0776,0.0966
7,Sneaker,0.1016,0.0868,0.1088
8,Bag,0.1042,0.1396,0.0768
9,Ankle boot,0.1008,0.1268,0.0536
