generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
5,912,0.6099256,True
67,9448,0.6629184,False
28,9149,0.8081879,False
60,9777,0.8771423,False
49,2204,0.90194625,False
41,6214,1.03551,False
14,193,1.0535946,False
87,1082,1.0805743,False
36,8681,1.0926386,False
100,2392,1.1851494,False
125,2614,1.3134617,False
98,6816,1.3144038,False
2,2276,1.349092,False
17,2570,1.3771927,False
84,6917,1.4243679,False
38,7503,1.4683422,False
56,1433,1.5030715,False
86,3043,1.541304,False
46,8970,1.5443946,False
51,5765,1.5722984,False
48,4546,1.609228,False
110,1189,1.6255094,False
20,420,1.6344715,False
83,2468,1.6382854,False
27,5232,1.6480638,False
94,8668,1.7018546,False
96,1320,1.7283214,False
53,6810,1.7445594,False
74,2520,1.7711258,False
101,3654,1.7728093,False
35,6801,1.7848165,False
105,2068,1.8231425,False
15,1527,1.8464894,False
92,7434,1.8860929,False
57,4470,1.8864049,False
33,1395,1.897422,False
32,2276,1.902459,False
68,5818,1.9096609,False
119,8452,1.9415596,False
3,4470,1.94727,False
72,2520,1.9493264,False
109,2856,1.9612944,False
124,3958,1.987934,False
47,1743,1.9895654,False
106,8630,2.0234263,False
43,69,2.0377226,False
10,7205,2.0481396,False
107,1069,2.062422,False
40,418,2.0866616,False
0,3654,2.097931,False
29,8116,2.1058328,False
103,5948,2.1079838,False
80,9182,2.1088085,False
63,1069,2.111908,False
104,4470,2.134048,False
69,8765,2.1463497,False
85,2098,2.1517782,False
31,5997,2.1731849,False
7,4470,2.2209952,False
91,7390,2.2368348,False
76,2858,2.2578115,False
4,8334,2.2664819,False
52,1441,2.3002207,False
81,5184,2.3026946,False
79,2733,2.3141522,False
90,7760,2.315399,False
99,2224,2.315431,False
75,4142,2.3166533,False
24,5864,2.326665,False
93,2801,2.3417628,False
108,3648,2.3434606,False
34,4865,2.3691583,False
55,2312,2.382296,False
21,767,2.463524,False
50,4890,2.4712164,False
12,7318,2.4728413,False
1,2068,2.4830675,False
122,8090,2.5138016,False
73,1395,2.5502472,False
114,1400,2.5563273,False
111,2734,2.5789535,False
42,3956,2.583569,False
30,3956,2.5897503,False
78,7390,2.6012087,False
23,1890,2.6082754,False
64,1069,2.6311243,False
97,9182,2.6522675,False
88,6143,2.6831286,False
113,5184,2.6881876,False
26,4757,2.7138402,False
25,8097,2.7145543,False
44,9182,2.7355547,False
9,6890,2.7407267,False
6,1069,2.7412546,False
115,3137,2.7785926,False
11,5610,2.793259,False
8,4349,2.8013024,False
58,7059,2.858958,False
19,8295,2.8694863,False
95,9499,2.896284,False
16,5184,2.919875,False
117,9926,2.930578,False
102,9262,3.065426,False
127,6414,3.1106606,False
54,9926,3.1128955,False
37,9262,3.178683,False
120,8086,3.21424,False
112,9262,3.23182,False
89,9262,3.2353127,False
123,9366,3.3088365,False
70,9182,3.3785374,False
45,9262,3.3846898,False
13,8776,3.4495423,False
82,9182,3.5521684,False
39,9262,3.6047053,False
66,8086,3.6287549,False
71,9262,3.7610037,False
77,1069,3.7646382,False
22,6777,3.7666411,False
116,8086,3.7746243,False
118,2203,3.7893991,False
62,5818,3.8239224,False
121,5184,3.8954782,False
18,9262,3.9040573,False
126,9262,3.9416316,False
59,4293,4.2264743,False
65,9262,4.22891,False
61,7205,4.353751,False
