generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
121,6919,0.6184409,True
50,9112,0.7678812,False
55,1227,0.7843639,False
37,8480,0.79287255,False
48,3054,0.94431525,False
62,1657,1.0198642,False
99,8395,1.0607177,False
70,4054,1.0659196,False
56,4493,1.1677859,False
23,4359,1.1837839,False
108,2517,1.1907961,False
49,1228,1.2012053,False
94,145,1.2474904,False
78,4867,1.3124331,False
16,8575,1.3432105,False
85,8117,1.363554,False
107,8760,1.4024131,False
15,8938,1.4820088,False
29,7476,1.4897338,False
51,5673,1.5014628,False
12,6941,1.5330775,False
11,4824,1.5366415,False
0,5649,1.5426621,False
35,7722,1.578229,False
120,6445,1.5827038,False
10,3657,1.639156,False
86,6147,1.6560358,False
60,5673,1.6985664,False
105,5061,1.7251258,False
34,7650,1.7346356,False
25,5673,1.7421119,False
127,6147,1.7773008,False
91,3716,1.7989341,False
116,7196,1.807065,False
3,3682,1.8361261,False
33,7197,1.855702,False
18,1053,1.8878789,False
65,9161,1.9104518,False
119,55,1.9122281,False
93,7069,1.9216855,False
44,1137,1.9350866,False
22,6644,1.9489956,False
26,8249,1.9685756,False
109,815,1.9972477,False
112,6082,2.0079055,False
1,6941,2.0084877,False
92,9492,2.0471537,False
73,715,2.0569792,False
64,7794,2.1556857,False
83,2721,2.159585,False
106,8299,2.1653955,False
100,3703,2.1840627,False
88,3382,2.1896152,False
122,272,2.2035336,False
76,9726,2.2196524,False
58,5566,2.2259824,False
114,2577,2.2496703,False
6,6330,2.2511618,False
14,7951,2.2541897,False
101,4184,2.2863984,False
113,4232,2.2869618,False
54,9726,2.304305,False
125,4325,2.309865,False
28,9726,2.317221,False
80,8702,2.3196342,False
66,7961,2.323205,False
36,8938,2.3367963,False
57,7187,2.3620405,False
67,117,2.3675258,False
21,9624,2.375408,False
68,3954,2.4304497,False
103,8912,2.4314296,False
19,2909,2.4403536,False
87,1755,2.4571884,False
63,8731,2.466449,False
52,3572,2.4709644,False
110,6519,2.5044653,False
45,7183,2.5046642,False
79,8299,2.524788,False
69,7484,2.5467274,False
98,6860,2.5939684,False
89,2577,2.5944223,False
74,7062,2.6037831,False
97,4818,2.609679,False
41,1199,2.620986,False
123,5009,2.622351,False
30,1683,2.6329062,False
39,5673,2.6371434,False
75,4184,2.637867,False
38,3287,2.6610625,False
104,2264,2.7025125,False
32,2577,2.753487,False
59,3572,2.7675223,False
40,1214,2.8081262,False
77,3682,2.8203807,False
118,2577,2.8568995,False
9,529,2.8658037,False
82,8444,2.8726904,False
126,6693,2.8777108,False
72,4325,2.888063,False
17,7197,2.9045842,False
46,7961,2.9270113,False
13,8386,2.935135,False
53,529,2.964663,False
31,5009,2.972487,False
43,2577,2.9977643,False
124,6080,2.9984865,False
111,8752,3.010046,False
27,272,3.085662,False
81,449,3.0897486,False
71,8299,3.167494,False
96,3844,3.2045257,False
84,693,3.2415462,False
95,272,3.2649736,False
2,272,3.2874024,False
42,2577,3.2931423,False
47,8752,3.3569021,False
102,9232,3.3850539,False
20,8752,3.4187334,False
115,7317,3.436545,False
61,7896,3.5070925,False
4,525,3.5367503,False
8,9232,3.5434656,False
24,529,3.5627778,False
5,529,3.7364278,False
7,5925,4.010656,False
117,4286,4.151035,False
90,5254,4.684319,False
