class_index,class_name,real_test_distribution,vae_distribution,ddpm_distribution
0,T-shirt/top,0.107,0.1378,0.081
1,Trouser,0.095,0.08,0.1056
2,Pullover,0.0952,0.1676,0.05
3,Dress,0.1018,0.087,0.1314
4,Coat,0.0998,0.0578,0.0528
5,Sandal,0.0974,0.0142,0.312
6,Shirt,0.1038,0.0996,0.0734
7,Sneaker,0.098,0.0668,0.1144
8,Bag,0.1,0.1718,0.0422
9,Ankle boot,0.102,0.1174,0.0372
