class,real,vae,ddpm,ldm
T-shirt/top,0.1056,0.2892,0.1012,0.1132
Trouser,0.0964,0.0188,0.0412,0.096
Pullover,0.1058,0.1806,0.1638,0.1756
Dress,0.101,0.1038,0.0856,0.1106
Coat,0.103,0.0164,0.1196,0.03
Sandal,0.0972,0.0748,0.0576,0.0434
Shirt,0.0904,0.0878,0.1296,0.1164
Sneaker,0.1028,0.0156,0.064,0.1114
Bag,0.1048,0.0704,0.1386,0.0656
Ankle boot,0.093,0.1426,0.0988,0.1378
