model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
VAE,122.61971258358676,1.1433289051055908,0.03762396052479744,0.7861794829368591,0.8476079106330872,0.5564,10,0.8608333767447987,0.08196551331447144,4.164087772369385,12.825495719909668,0.547062337398529,1.6100940816667086,0.18066479999833973,0.036132959999667945,1955211,1498.6181640625,6302.48388671875,6302.48388671875,946.8633422851562,0.016971384968514365,0
DDPM,31.390365083491602,0.36544346809387207,0.02525017224252224,0.9261888861656189,0.9978387355804443,0.844,10,0.9692011156726367,0.01730493842764337,7.691389560699463,19.571208953857422,0.6198688745498657,5.552771876666641,53.066046499996446,10.613209299999289,5787075,3104.9501953125,7682.5322265625,7682.5322265625,0.025870811194181442,0.05789170809847164,0
LDM,52.15645443082627,0.6718164682388306,0.04144270345568657,0.9513444304466248,0.9998637437820435,0.8972,10,0.9591706617193848,0.025790160872805147,8.05803108215332,20.5596866607666,0.49390795826911926,3.4996625799999794,3.8096523999993224,0.7619304799998645,7743439,1498.6181640625,5195.8330078125,5195.8330078125,0.25811469554901123,0.04820222792782541,0
