train_loss,test_loss,test_accuracy,lr
1.1824825870196025,0.8005628784179688,0.7052,0.001
0.5222965046882629,0.48012242126464844,0.8243,0.0009829629131445341
0.38026152160962423,0.3878110321044922,0.8562,0.0009330127018922195
0.323628653049469,0.38606645812988283,0.8592,0.0008535533905932737
0.28818039350509644,0.32431312103271487,0.883,0.00075
0.2647378172000249,0.29958925933837893,0.894,0.0006294095225512604
0.24490077958106996,0.26928699951171875,0.9033,0.0005
0.2258673426469167,0.27874322967529297,0.9006,0.0003705904774487397
0.21786803923447925,0.2578830551147461,0.9058,0.0002500000000000001
0.20736826154390972,0.24592588195800782,0.9129,0.00014644660940672628
0.20126435287793476,0.24388374938964844,0.9127,6.698729810778065e-05
0.19760397017796835,0.2430518585205078,0.9128,1.70370868554659e-05
