class,real,vae,ddpm,ldm
T-shirt/top,0.1056,0.2818,0.0958,0.1068
Trouser,0.0964,0.022,0.043,0.096
Pullover,0.1058,0.1826,0.143,0.1728
Dress,0.101,0.0946,0.0988,0.1098
Coat,0.103,0.0254,0.1196,0.0294
Sandal,0.0972,0.0846,0.0632,0.0344
Shirt,0.0904,0.0964,0.1396,0.1154
Sneaker,0.1028,0.0128,0.061,0.1024
Bag,0.1048,0.0578,0.1366,0.079
Ankle boot,0.093,0.142,0.0994,0.154
