train_loss,test_loss,test_accuracy,lr
1.224944588502248,0.7323353210449218,0.7244,0.001
0.5041951324939727,0.44835899047851563,0.8373,0.0009829629131445341
0.37447671054204307,0.38523329772949216,0.8656,0.0009330127018922195
0.31890395137468974,0.3852323272705078,0.8576,0.0008535533905932737
0.28839077127774554,0.3019541046142578,0.891,0.00075
0.26450718541145324,0.29770482025146483,0.8947,0.0006294095225512604
0.24838223795890807,0.26897552185058593,0.9035,0.0005
0.23155197785695394,0.2601046371459961,0.9087,0.0003705904774487397
0.2180981920560201,0.2643198959350586,0.9079,0.0002500000000000001
0.21075749871730803,0.24706866455078125,0.9128,0.00014644660940672628
0.2040366044998169,0.24310860748291016,0.9133,6.698729810778065e-05
0.20082667818864186,0.24302005767822266,0.9142,1.70370868554659e-05
