noise_mse,lr,epoch_seconds
0.2676759035936717,0.0002,19.98879390000002
0.1272213333125772,0.00019959742939952392,7.752686499999982
0.10670294034583815,0.00019839295885986296,7.770110499997827
0.09646895091081488,0.00019639628606958533,7.768265299997438
0.0915937606116821,0.00019362348706397373,7.768425299997034
0.08840936088356478,0.00019009688679024194,7.769503499999701
0.08576247571357365,0.00018584487936018664,7.769717600000149
0.08281233418604424,0.0001809016994374948,7.773082200001227
0.0806392952799797,0.00017530714660036114,7.776653000000806
0.08055968993696673,0.0001691062648986865,7.761346600000252
0.07828115196577434,0.0001623489801858734,7.76384920000055
0.07804915206185703,0.00015508969814521028,7.85428039999897
0.07637255202079642,0.00014738686624729989,7.767178499998408
0.07537410177033523,0.00013930250316539238,7.7677535000002536
0.07512109508288317,0.00013090169943749476,7.774351299998671
0.07488733748423643,0.00012225209339563145,7.768221199999971
0.07467173283983922,0.00011342332658176557,7.772994299997663
0.07426205059063845,0.00010448648303505152,7.774177299997973
0.07343943494147268,9.551351696494853e-05,7.776173000002018
0.07376688115041831,8.657667341823447e-05,7.782764000003226
0.07247467377576335,7.774790660436858e-05,7.7725560999970185
0.07292402175993755,6.909830056250527e-05,7.78384129999904
0.07203395407775352,6.0697496834607674e-05,7.778386599999067
0.07164384989902892,5.2613133752700145e-05,7.773750799999107
0.07125496067877474,4.491030185478976e-05,7.780555600002117
0.07058416050055931,3.765101981412666e-05,7.778601300000446
0.07157857561933584,3.089373510131355e-05,7.765852699998504
0.07059459953472533,2.4692853399638917e-05,7.782343099999707
0.07098881579164801,1.9098300562505266e-05,7.864029700001993
0.07055573743479006,1.415512063981339e-05,7.777841600000102
0.07079908200379076,9.903113209758096e-06,7.772541500002262
0.07059058842474017,6.376512936026279e-06,7.7821661999987555
0.07002647555079954,3.603713930414676e-06,7.778076899998268
0.07033689101708346,1.6070411401370332e-06,7.7774026000006415
0.07024347460989294,4.025706004760932e-07,7.78812729999845
