dataset,classes,evaluator_config,accuracy,balanced_accuracy,test_loss,training_seconds,peak_gpu_memory_mb
fashion_mnist,"['T-shirt/top', 'Trouser', 'Pullover', 'Dress', 'Coat', 'Sandal', 'Shirt', 'Sneaker', 'Bag', 'Ankle boot']","{'architecture': 'residual_64_128_256_v1', 'seed': 1508, 'epochs': 40, 'batch_size': 256, 'learning_rate': 0.0003, 'weight_decay': 0.0001, 'classes': ['T-shirt/top', 'Trouser', 'Pullover', 'Dress', 'Coat', 'Sandal', 'Shirt', 'Sneaker', 'Bag', 'Ankle boot']}",0.9423,0.9422999620437622,0.32426695184707643,218.58681649999926,1028.552734375
fashion_product_images,"['Tshirts', 'Shirts', 'Kurtas', 'Tops', 'Briefs', 'Jeans', 'Trousers', 'Shorts', 'Bra', 'Dresses', 'Sarees', 'Track Pants', 'Sweaters', 'Sweatshirts', 'Jackets']","{'architecture': 'residual_64_128_256_v1', 'seed': 1508, 'epochs': 40, 'batch_size': 256, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'classes': ['Tshirts', 'Shirts', 'Kurtas', 'Tops', 'Briefs', 'Jeans', 'Trousers', 'Shorts', 'Bra', 'Dresses', 'Sarees', 'Track Pants', 'Sweaters', 'Sweatshirts', 'Jackets']}",0.8805340829234013,0.7740155458450317,0.4851741012099421,59.13895670000056,996.20947265625
