total,reconstruction,kl,test_total,lr
342.36106591796874,329.26521010742186,13.09585502726237,264.4066448730469,0.002
255.78528614095052,240.23711252441407,15.548174286397298,253.21775434570313,0.001992114701314478
248.71044864095052,233.13753327636718,15.572914700317384,248.09653654785157,0.001968583161128631
245.62988848470053,229.85208262532552,15.77780610961914,247.0678888671875,0.0019297764858882515
243.75292430013022,227.84361986490885,15.909304962158203,244.5770770263672,0.0018763066800438636
242.5152983642578,226.50565,16.009648132832844,243.9287619140625,0.0018090169943749475
241.51147471516927,225.4601974202474,16.051276048787436,242.90441904296875,0.0017289686274214115
240.76118770345053,224.66357664388022,16.097610275268554,242.42719711914063,0.0016374239897486895
240.04152364908853,223.8733871907552,16.168136884562173,241.75170375976563,0.0015358267949789964
239.53507106933594,223.34553723958334,16.189534161376955,241.16822377929688,0.0014257792915650725
239.11949996744792,222.9210203125,16.198479974365235,240.77101904296876,0.0013090169943749473
238.66718022460938,222.43253255208333,16.234647236124676,240.58614936523438,0.0011873813145857248
238.40771638183594,222.15836255696615,16.249353977457684,240.45663859863282,0.0010627905195293135
238.1414982421875,221.8900964029948,16.25140205485026,240.11343439941407,0.0009372094804706867
237.81725885416665,221.5482888753255,16.26896958211263,239.493248046875,0.0008126186854142754
237.55187884928387,221.2559426920573,16.295936306762695,239.61522534179687,0.0006909830056250529
237.2867416422526,220.98957689615887,16.297164478556315,239.22384826660155,0.0005742207084349273
237.0627731689453,220.76583120117186,16.296942645263673,238.94122329101563,0.0004641732050210031
236.8901765625,220.54215734049478,16.34801931254069,238.92182211914061,0.00036257601025131025
236.699408992513,220.37145052897137,16.32795787455241,238.8482458984375,0.00027103137257858867
236.59481328125,220.2406434407552,16.35416969095866,238.68751396484376,0.00019098300562505268
236.47800514322915,220.11669090169272,16.36131371358236,238.53757104492186,0.00012369331995613645
236.34786149902342,219.99563675944012,16.352224055989584,238.39870380859375,7.022351411174866e-05
236.27802030436197,219.93318079427084,16.344838279215494,238.45060463867188,3.141683887136904e-05
236.31153428548177,219.91091953938803,16.400614186604816,238.33521989746095,7.885298685522236e-06
