class_index,class_name,real_test_distribution,vae_distribution,ddpm_distribution
0,T-shirt/top,0.104,0.1812,0.083
1,Trouser,0.0976,0.0742,0.0938
2,Pullover,0.097,0.1958,0.1322
3,Dress,0.1024,0.0792,0.112
4,Coat,0.1042,0.0594,0.1048
5,Sandal,0.099,0.011,0.1186
6,Shirt,0.0964,0.0598,0.085
7,Sneaker,0.1024,0.086,0.1108
8,Bag,0.0974,0.1224,0.0952
9,Ankle boot,0.0996,0.131,0.0646
