generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
62,428,0.7311995,False
107,4801,0.94911224,False
103,3054,1.0494372,False
58,2225,1.0953114,False
84,9434,1.1593076,False
114,8346,1.237537,False
104,8715,1.2607055,False
60,5744,1.2920767,False
9,1955,1.2963837,False
97,3683,1.3528053,False
41,3548,1.3641428,False
8,6443,1.3893297,False
0,6113,1.3899177,False
20,6914,1.3928766,False
51,3075,1.4111704,False
61,8346,1.4493464,False
85,6575,1.4910072,False
96,3537,1.5005467,False
43,8229,1.50152,False
74,9949,1.5206228,False
19,4803,1.5398294,False
101,8810,1.5492566,False
123,7387,1.5733049,False
91,6391,1.5954401,False
121,3020,1.603643,False
44,565,1.6264466,False
40,3291,1.65072,False
37,1688,1.6532439,False
10,5051,1.6632622,False
7,1103,1.706401,False
33,7654,1.7079304,False
22,6590,1.7101759,False
98,26,1.7304357,False
124,6926,1.7740548,False
115,7808,1.7807788,False
17,750,1.7940216,False
49,1360,1.825497,False
35,5501,1.8275312,False
52,6255,1.830719,False
47,8850,1.8311273,False
76,1643,1.832995,False
31,2892,1.8740252,False
92,6951,1.900238,False
5,6745,1.9209489,False
38,9318,1.9375206,False
50,3791,1.9696237,False
30,2621,1.988757,False
120,3177,1.9923224,False
57,9754,1.9966689,False
75,970,2.020785,False
69,565,2.0423944,False
29,4532,2.050345,False
13,9834,2.0524287,False
63,7918,2.0805957,False
90,5747,2.0988235,False
32,7316,2.138621,False
42,8411,2.143914,False
6,8522,2.1688654,False
126,5045,2.1729462,False
16,328,2.1771195,False
99,3946,2.17732,False
113,9869,2.1850765,False
27,39,2.2084792,False
80,2848,2.2163804,False
71,3833,2.28253,False
65,2629,2.2881281,False
72,7228,2.2924821,False
14,2616,2.3130517,False
109,5549,2.34987,False
11,3791,2.3669136,False
28,8466,2.3675,False
25,473,2.381973,False
56,1483,2.382822,False
24,3833,2.4032574,False
64,2279,2.4042425,False
23,2009,2.466839,False
15,6503,2.4712412,False
110,4587,2.475404,False
3,4575,2.4882762,False
89,7393,2.4945512,False
53,4051,2.5257819,False
88,1704,2.578437,False
68,6141,2.6017246,False
46,8730,2.602096,False
34,6914,2.6250117,False
82,8582,2.6322377,False
18,2844,2.6493206,False
94,9549,2.6697166,False
95,4414,2.6891322,False
78,2449,2.6912327,False
45,6745,2.6942594,False
66,7466,2.6954823,False
127,2661,2.708004,False
111,5558,2.7166774,False
125,2623,2.7791307,False
117,2081,2.8185787,False
39,7702,2.8616893,False
70,1282,2.8624141,False
36,473,2.90378,False
26,1704,2.9415443,False
116,6745,2.967945,False
21,473,2.993222,False
106,9314,3.0390027,False
102,2569,3.0523438,False
67,5792,3.0656815,False
83,5558,3.1117404,False
118,3266,3.2068753,False
55,5162,3.2161434,False
119,1993,3.2212458,False
93,8790,3.244146,False
48,2844,3.2473297,False
81,3723,3.2675776,False
4,7918,3.2703912,False
73,5658,3.3263514,False
122,2279,3.3354106,False
79,1993,3.6313593,False
105,3266,3.7101755,False
1,4051,3.7161114,False
59,8810,3.7819672,False
77,2844,3.8221283,False
112,5999,3.825454,False
108,7918,3.9154422,False
100,7918,4.0939307,False
54,3266,4.1015224,False
2,4051,4.3141522,False
87,5704,4.5814023,False
12,5704,4.608777,False
86,3791,4.6450467,False
