dataset,seed,classifier_accuracy,classifier_balanced_accuracy,classifier_test_loss,classifier_training_seconds,classifier_peak_gpu_memory_mb,model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,class_distribution_jsd,inception_score,feature_pairwise_distance,sobel_sharpness,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,training_peak_gpu_memory_mb,sampling_peak_gpu_memory_mb,peak_gpu_memory_mb,final_training_loss,training_tail_cv,nonfinite_loss_count
fashion_mnist,0,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,VAE,121.645654995441,1.1274044513702393,0.0604149550199508,0.7950593829154968,0.8644722104072571,0.5712,10,0.8616817138493712,0.0804845384141453,4.219988822937012,12.958029747009276,0.5460428595542908,1.6159669999999702,0.1825529999987338,0.0365105999997467,1955211,1571.32177734375,6294.35888671875,6294.35888671875,910.6132202148438,0.0212538760996898,0
fashion_mnist,0,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,DDPM,28.63214652379448,0.3428811430931091,0.0341721922159194,0.9303228259086608,0.9981240034103394,0.8628,10,0.9776026644714604,0.0127785734849916,7.887774467468262,19.644371032714844,0.6011381149291992,5.548557891666618,53.04087419999996,10.608174839999991,5787075,3102.8251953125,7682.5322265625,7682.5322265625,0.0210594832897186,0.0826040159438593,0
fashion_mnist,0,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,LDM,52.37924024189668,0.7034978866577148,0.0485423021018505,0.9551718831062316,0.9998942017555236,0.9076,10,0.9601413485156014,0.0256569335244958,8.117598533630371,20.39772224426269,0.508796215057373,3.4060944916665905,3.815735800002585,0.763147160000517,7743439,1571.32177734375,5195.8330078125,5195.8330078125,0.2604349255561828,0.0647514796574903,0
fashion_mnist,1,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,VAE,116.18857999174055,1.099611520767212,0.0563979409635067,0.7955028414726257,0.8688275814056396,0.577,10,0.8794661305825108,0.0703549736925824,4.407074928283691,13.213570594787598,0.5541554093360901,1.61224058166675,0.1805566999973962,0.0361113399994792,1955211,1498.6181640625,6302.48388671875,6302.48388671875,940.4844360351562,0.02140543008513,0
fashion_mnist,1,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,DDPM,31.095759127955198,0.363060861825943,0.0360050834715366,0.9284502863883972,0.9979952573776244,0.8554,10,0.9682117419259224,0.0176610172848918,7.693972110748291,19.585227966308597,0.6101886034011841,5.553577486666715,53.09658769999805,10.61931753999961,5787075,3104.9501953125,7682.5322265625,7682.5322265625,0.0238923877477645,0.081970169851474,0
fashion_mnist,1,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,LDM,50.79174751479711,0.6811744570732117,0.0519248060882091,0.9511229395866394,0.9998610019683838,0.899,10,0.962596520774526,0.0232440783857307,8.121376037597656,20.519222259521484,0.5219417810440063,3.4657958533333537,3.8070453999971514,0.7614090799994302,7743439,1498.6181640625,5195.8330078125,5195.8330078125,0.2320523560047149,0.0359369947735716,0
fashion_mnist,2,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,VAE,116.95307072976364,1.094205617904663,0.0690631195902824,0.7962546944618225,0.8640795350074768,0.5758,10,0.8714893172795134,0.0742776774592184,4.364278793334961,13.058086395263672,0.5516033172607422,1.61133872666663,0.1804701000000932,0.0360940200000186,1955211,1498.6181640625,6302.48388671875,6302.48388671875,945.7109985351562,0.0156449138302815,0
fashion_mnist,2,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,DDPM,28.1304920046601,0.3193704783916473,0.0316683463752269,0.926978588104248,0.9982484579086304,0.8496,10,0.9775284373836246,0.0129234421714566,7.838968276977539,19.54210090637207,0.5972816944122314,5.554151484999966,53.0802377,10.61604754,5787075,3104.9501953125,7682.5322265625,7682.5322265625,0.0244477298110723,0.0679035300715366,0
fashion_mnist,2,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,LDM,52.13520394457064,0.703529953956604,0.0365435145795345,0.948188066482544,0.9998182058334352,0.892,10,0.9641008243894488,0.0226748178477771,8.094408988952637,20.3313102722168,0.5085395574569702,3.5451399499999146,3.821999899999355,0.764399979999871,7743439,1498.6181640625,5195.8330078125,5195.8330078125,0.2490438520908355,0.0689023855311278,0
fashion_mnist,3,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,VAE,118.07587757417616,1.102085828781128,0.0594913251698017,0.7967168092727661,0.862348198890686,0.5828,10,0.8685639909378953,0.0774327401666348,4.309794902801514,12.971994400024414,0.5322597026824951,1.6114301899999797,0.1819886000012047,0.0363977200002409,1955211,1498.6181640625,6302.48388671875,6302.48388671875,944.4005126953124,0.016742578999326,0
fashion_mnist,3,0.9423,0.9422999620437622,0.3242669518470764,218.5868164999993,1028.552734375,DDPM,28.970563659559154,0.3526394367218017,0.0363732874393463,0.9277873039245604,0.9983292818069458,0.8536,10,0.973775136255487,0.0153449275062313,7.812897205352783,19.630434036254883,0.6120153069496155,5.552158031666598,52.9957476999989,10.59914953999978,5787075,3104.9501953125,7682.5322265625,7682.5322265625,0.0249210745096206,0.1016703437598194,0
