class,real,vae,ddpm,ldm
Tshirts,0.39915671117357693,0.3772,0.3632,0.3498
Shirts,0.1679550245959241,0.1312,0.2052,0.1746
Kurtas,0.09838369641602249,0.0962,0.0842,0.1314
Tops,0.08362614195361912,0.2438,0.1178,0.1314
Briefs,0.04567814476458187,0.0106,0.0462,0.0248
Jeans,0.03724525650035137,0.0004,0.0202,0.0292
Trousers,0.027406886858749122,0.006,0.0322,0.0298
Shorts,0.028109627547434995,0.0048,0.022,0.009
Bra,0.023893183415319746,0.0084,0.018,0.0084
Dresses,0.018973998594518624,0.0252,0.0244,0.0106
Sarees,0.023893183415319746,0.0194,0.011,0.02
Track Pants,0.013352073085031623,0.003,0.0168,0.0226
Sweaters,0.007730147575544624,0.0518,0.0136,0.0504
Sweatshirts,0.015460295151089248,0.0136,0.0122,0.0048
Jackets,0.009135628952916374,0.0084,0.013,0.0032
