class_index,class_name,real_test_distribution,vae_distribution,ddpm_distribution
0,T-shirt/top,0.1032,0.1908,0.0978
1,Trouser,0.1054,0.0786,0.0984
2,Pullover,0.0982,0.1796,0.1524
3,Dress,0.1058,0.0898,0.1482
4,Coat,0.099,0.0266,0.0994
5,Sandal,0.0948,0.0126,0.074
6,Shirt,0.089,0.063,0.0938
7,Sneaker,0.103,0.073,0.0944
8,Bag,0.1014,0.1408,0.069
9,Ankle boot,0.1002,0.1452,0.0726
