generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
7,6322,0.4462709,True
39,3432,0.60322165,False
92,6278,0.6874334,False
107,4539,0.99121815,False
127,1152,0.9949231,False
25,5085,1.0448333,False
125,7998,1.0552155,False
100,8616,1.076815,False
47,6336,1.1452293,False
113,7195,1.1462215,False
30,5537,1.1517129,False
12,9888,1.1831392,False
49,7000,1.2815506,False
34,6697,1.2904614,False
38,4927,1.2946332,False
91,441,1.3143036,False
43,5797,1.3504062,False
95,6722,1.3632225,False
57,1703,1.3835171,False
81,8287,1.3936173,False
63,2662,1.3945518,False
40,2721,1.4077073,False
88,9589,1.4279027,False
78,8055,1.438471,False
66,3566,1.4657087,False
84,8844,1.5095205,False
26,1179,1.5111862,False
110,7381,1.5292757,False
4,7361,1.54044,False
48,5054,1.5989797,False
67,4914,1.6096902,False
68,5572,1.6204454,False
13,569,1.6234981,False
22,9182,1.628104,False
1,9764,1.658777,False
44,5622,1.669065,False
3,3555,1.7061528,False
119,4291,1.7123778,False
33,3582,1.713022,False
59,8019,1.7171068,False
105,5625,1.7226496,False
37,5480,1.7226789,False
10,4862,1.7518116,False
73,5537,1.7529957,False
108,6563,1.7591488,False
118,9205,1.7617902,False
123,9126,1.7744697,False
86,3451,1.7776688,False
85,7844,1.8641583,False
65,9168,1.876879,False
18,8546,1.8831569,False
75,7861,1.9011874,False
89,3420,1.9167651,False
111,5182,1.9187025,False
61,3841,1.9215217,False
126,2580,1.9311528,False
120,5379,1.9359828,False
121,7817,1.9611005,False
82,818,1.9675648,False
27,6396,1.9870069,False
87,8005,1.990976,False
28,6384,2.0098786,False
16,3566,2.010486,False
41,5143,2.0151868,False
71,4926,2.0334442,False
109,8678,2.0336468,False
99,7713,2.04323,False
58,8321,2.06552,False
69,4926,2.0656953,False
15,3461,2.0754433,False
53,3950,2.0818956,False
114,2177,2.085347,False
5,8393,2.091019,False
104,5622,2.0933647,False
23,8300,2.102371,False
14,4781,2.1130936,False
17,3808,2.153994,False
8,3808,2.173474,False
9,2177,2.179509,False
11,5462,2.2006376,False
101,5017,2.2237887,False
56,4954,2.2349029,False
112,6367,2.2510276,False
45,7817,2.252377,False
0,72,2.2924397,False
24,3808,2.3254323,False
97,6050,2.3569448,False
94,3935,2.357229,False
72,5717,2.3605669,False
98,5717,2.372424,False
96,9062,2.3828845,False
31,9015,2.460653,False
50,5269,2.4703205,False
80,4578,2.4865246,False
102,8005,2.4902084,False
122,9259,2.5633948,False
46,5720,2.5671835,False
64,5903,2.5713327,False
115,3808,2.5824442,False
21,4807,2.593678,False
116,2177,2.5993903,False
79,2561,2.6122491,False
32,5717,2.627139,False
51,2860,2.6279635,False
6,3808,2.6600254,False
103,8005,2.667666,False
19,1371,2.6835504,False
55,2177,2.7202568,False
42,4926,2.7250195,False
70,4471,2.8060207,False
76,2794,2.8406,False
93,5717,2.882884,False
20,818,2.8863487,False
90,8234,2.950669,False
60,5269,3.0257163,False
54,4624,3.034473,False
29,2177,3.049728,False
106,9259,3.0823402,False
83,7496,3.0975547,False
74,2651,3.1513016,False
77,4578,3.25355,False
2,5697,3.459231,False
52,3951,3.47038,False
117,6734,3.585825,False
62,6492,3.6192622,False
124,5717,3.880771,False
35,5431,3.9174936,False
36,4367,4.0570407,False
